census_name,district,province,shapefile_name
KHANPUR TEHSIL,,,KHAN PUR TEHSIL
DE-EXCLUDED AREA RAJANPUR,,,DE-EXCLUDED AREA RAJANPUR TEHSIL
KINGRI TALUKA,,,KINGRI (SINDH) TALUKA
DASHT SUB-TEHSIL,,,DASHT (KECH) SUB-TEHSIL
MIRPUR SUB-TEHSIL,,,MIRPUR (BALOCHISTAN) SUB-TEHSIL
BHAG TEHSIL,,,BHAG (BALOCHISTAN) TEHSIL
SAHIWAL TEHSIL,SARGODHA DISTRICT,,SAHIWAL (SARGODHA) TEHSIL
NOWSHERA TEHSIL,,PUNJAB,NOWSHERA (PUNJAB) TEHSIL
TAMBOO TEHSIL,KOHLU DISTRICT,,TAMBOO (KOHLU) TEHSIL
TRIBAL AREA ADJ. KOHAT DISTRICT,,,FR KOHAT
TRIBAL AREA ADJ. TANK DISTRICT,,,FR TANK
TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,,,FR D.I.KHAN
TRIBAL AREA ADJ. PESHAWAR DISTRICT,,,FR PESHAWAR
TRIBAL AREA ADJ. LAKKI MARWAT DISTRICT,,,FR LAKKI MARWAT
TRIBAL AREA ADJ. BANNU DISTRICT,,,FR BANNU
