Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,001000,1 ASSAMESE,115,80,35,34,29,5,81,51,30
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,001002, Assamese,114,79,35,34,29,5,80,50,30
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,001999,1 Others,1,1,0,0,0,0,1,1,0
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,002000,2 BENGALI ,108432,58748,49684,89825,47695,42130,18607,11053,7554
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,002007, Bengali,108431,58747,49684,89824,47694,42130,18607,11053,7554
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,002999,2 Others,1,1,0,1,1,0,0,0,0
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,003000,3 BODO ,5,5,0,2,2,0,3,3,0
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,003001, Bodo/Boro,5,5,0,2,2,0,3,3,0
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,004000,4 DOGRI ,67,53,14,28,28,0,39,25,14
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,004001, Dogri,67,53,14,28,28,0,39,25,14
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,005000,5 GUJARATI,241,155,86,75,57,18,166,98,68
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,005018, Gujarati,204,129,75,57,45,12,147,84,63
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,005057, Saurashtra/Saurashtri,11,8,3,4,3,1,7,5,2
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,005999,5 Others,26,18,8,14,9,5,12,9,3
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006000,6 HINDI ,73424,39790,33634,42080,23227,18853,31344,16563,14781
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006030, Awadhi,12,9,3,6,5,1,6,4,2
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006102, Bhojpuri,1791,1054,737,638,379,259,1153,675,478
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006123, Brajbhasha,18,14,4,9,5,4,9,9,0
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006125, Bundeli/Bundel khandi,4,3,1,3,2,1,1,1,0
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006142, Chhattisgarhi,4,4,0,4,4,0,0,0,0
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006195, Garhwali,65,49,16,28,24,4,37,25,12
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006232, Hara/Harauti,3,1,2,1,0,1,2,1,1
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006235, Haryanvi,258,188,70,115,100,15,143,88,55
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006240, Hindi,49134,26404,22730,22660,12559,10101,26474,13845,12629
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006311, Khari Boli,1,0,1,0,0,0,1,0,1
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006320, Khortha/Khotta,9,7,2,4,3,1,5,4,1
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006340, Kumauni,325,295,30,313,288,25,12,7,5
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006345, Kurmali Thar,2,1,1,0,0,0,2,1,1
C0116,35,000,00000,ANDAMAN & NICOBAR ISLANDS,006376, Magadhi/Magahi,47,37,10,13,12,1,34,25,9
