Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,28,000,00000,ANDHRA PRADESH,001000,1 ASSAMESE,2648,1847,801,449,348,101,2199,1499,700
C0116,28,000,00000,ANDHRA PRADESH,001002, Assamese,2573,1783,790,449,348,101,2124,1435,689
C0116,28,000,00000,ANDHRA PRADESH,001999,1 Others,75,64,11,0,0,0,75,64,11
C0116,28,000,00000,ANDHRA PRADESH,002000,2 BENGALI ,57804,32034,25770,21592,11867,9725,36212,20167,16045
C0116,28,000,00000,ANDHRA PRADESH,002007, Bengali,57785,32020,25765,21586,11862,9724,36199,20158,16041
C0116,28,000,00000,ANDHRA PRADESH,002011, Chakma,7,6,1,0,0,0,7,6,1
C0116,28,000,00000,ANDHRA PRADESH,002015, Haijong/Hajong,1,0,1,0,0,0,1,0,1
C0116,28,000,00000,ANDHRA PRADESH,002999,2 Others,11,8,3,6,5,1,5,3,2
C0116,28,000,00000,ANDHRA PRADESH,003000,3 BODO ,606,299,307,30,13,17,576,286,290
C0116,28,000,00000,ANDHRA PRADESH,003001, Bodo/Boro,135,75,60,8,5,3,127,70,57
C0116,28,000,00000,ANDHRA PRADESH,003003, Kachari,471,224,247,22,8,14,449,216,233
C0116,28,000,00000,ANDHRA PRADESH,004000,4 DOGRI ,769,568,201,37,29,8,732,539,193
C0116,28,000,00000,ANDHRA PRADESH,004001, Dogri,769,568,201,37,29,8,732,539,193
C0116,28,000,00000,ANDHRA PRADESH,005000,5 GUJARATI,58946,29851,29095,5348,2678,2670,53598,27173,26425
C0116,28,000,00000,ANDHRA PRADESH,005018, Gujarati,48359,24593,23766,3486,1788,1698,44873,22805,22068
C0116,28,000,00000,ANDHRA PRADESH,005019, Gujrao/Gujrau,1,1,0,1,1,0,0,0,0
C0116,28,000,00000,ANDHRA PRADESH,005052, Pattani,16,8,8,15,8,7,1,0,1
C0116,28,000,00000,ANDHRA PRADESH,005057, Saurashtra/Saurashtri,2323,1170,1153,42,24,18,2281,1146,1135
C0116,28,000,00000,ANDHRA PRADESH,005999,5 Others,8247,4079,4168,1804,857,947,6443,3222,3221
C0116,28,000,00000,ANDHRA PRADESH,006000,6 HINDI ,3120413,1615020,1505393,2255673,1155794,1099879,864740,459226,405514
C0116,28,000,00000,ANDHRA PRADESH,006030, Awadhi,42,27,15,0,0,0,42,27,15
C0116,28,000,00000,ANDHRA PRADESH,006040, Baghati/Baghati Pahari,11,7,4,8,4,4,3,3,0
C0116,28,000,00000,ANDHRA PRADESH,006066, Banjari,80355,41217,39138,71708,36566,35142,8647,4651,3996
C0116,28,000,00000,ANDHRA PRADESH,006086, Bhadrawahi,9,8,1,2,2,0,7,6,1
C0116,28,000,00000,ANDHRA PRADESH,006096, Bharmauri/Gaddi,24,14,10,1,0,1,23,14,9
C0116,28,000,00000,ANDHRA PRADESH,006102, Bhojpuri,8260,4925,3335,1131,748,383,7129,4177,2952
C0116,28,000,00000,ANDHRA PRADESH,006123, Brajbhasha,2,2,0,0,0,0,2,2,0
C0116,28,000,00000,ANDHRA PRADESH,006125, Bundeli/Bundel khandi,68,34,34,36,17,19,32,17,15
C0116,28,000,00000,ANDHRA PRADESH,006133, Chambeali/Chamrali,2,1,1,0,0,0,2,1,1
C0116,28,000,00000,ANDHRA PRADESH,006142, Chhattisgarhi,407,199,208,198,104,94,209,95,114
C0116,28,000,00000,ANDHRA PRADESH,006149, Churahi,5,2,3,0,0,0,5,2,3
C0116,28,000,00000,ANDHRA PRADESH,006173, Dhundhari,91,42,49,30,16,14,61,26,35
C0116,28,000,00000,ANDHRA PRADESH,006195, Garhwali,304,161,143,42,26,16,262,135,127
