Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,12,000,00000,ARUNACHAL PRADESH,001000,1 ASSAMESE,53951,29908,24043,35165,19619,15546,18786,10289,8497
C0116,12,000,00000,ARUNACHAL PRADESH,001002, Assamese,53791,29800,23991,35102,19582,15520,18689,10218,8471
C0116,12,000,00000,ARUNACHAL PRADESH,001999,1 Others,160,108,52,63,37,26,97,71,26
C0116,12,000,00000,ARUNACHAL PRADESH,002000,2 BENGALI ,100579,54131,46448,66674,35351,31323,33905,18780,15125
C0116,12,000,00000,ARUNACHAL PRADESH,002007, Bengali,50543,28680,21863,17086,10127,6959,33457,18553,14904
C0116,12,000,00000,ARUNACHAL PRADESH,002011, Chakma,47073,23954,23119,46908,23883,23025,165,71,94
C0116,12,000,00000,ARUNACHAL PRADESH,002015, Haijong/Hajong,2711,1353,1358,2489,1237,1252,222,116,106
C0116,12,000,00000,ARUNACHAL PRADESH,002044, Rajbangsi,224,120,104,174,90,84,50,30,20
C0116,12,000,00000,ARUNACHAL PRADESH,002999,2 Others,28,24,4,17,14,3,11,10,1
C0116,12,000,00000,ARUNACHAL PRADESH,003000,3 BODO ,7095,3787,3308,5058,2790,2268,2037,997,1040
C0116,12,000,00000,ARUNACHAL PRADESH,003001, Bodo/Boro,5392,2927,2465,3508,2003,1505,1884,924,960
C0116,12,000,00000,ARUNACHAL PRADESH,003003, Kachari,1703,860,843,1550,787,763,153,73,80
C0116,12,000,00000,ARUNACHAL PRADESH,004000,4 DOGRI ,994,886,108,566,492,74,428,394,34
C0116,12,000,00000,ARUNACHAL PRADESH,004001, Dogri,994,886,108,566,492,74,428,394,34
C0116,12,000,00000,ARUNACHAL PRADESH,005000,5 GUJARATI,362,277,85,264,205,59,98,72,26
C0116,12,000,00000,ARUNACHAL PRADESH,005018, Gujarati,249,224,25,182,165,17,67,59,8
C0116,12,000,00000,ARUNACHAL PRADESH,005054, Ponchi,1,0,1,1,0,1,0,0,0
C0116,12,000,00000,ARUNACHAL PRADESH,005999,5 Others,112,53,59,81,40,41,31,13,18
C0116,12,000,00000,ARUNACHAL PRADESH,006000,6 HINDI ,98187,61622,36565,50692,31460,19232,47495,30162,17333
C0116,12,000,00000,ARUNACHAL PRADESH,006030, Awadhi,117,72,45,41,25,16,76,47,29
C0116,12,000,00000,ARUNACHAL PRADESH,006040, Baghati/Baghati Pahari,1,1,0,0,0,0,1,1,0
C0116,12,000,00000,ARUNACHAL PRADESH,006042, Bagheli/Baghel Khandi,1,1,0,0,0,0,1,1,0
C0116,12,000,00000,ARUNACHAL PRADESH,006066, Banjari,13,8,5,13,8,5,0,0,0
C0116,12,000,00000,ARUNACHAL PRADESH,006086, Bhadrawahi,1,1,0,0,0,0,1,1,0
C0116,12,000,00000,ARUNACHAL PRADESH,006089, Bhagoria,17,9,8,5,3,2,12,6,6
C0116,12,000,00000,ARUNACHAL PRADESH,006096, Bharmauri/Gaddi,8,7,1,5,4,1,3,3,0
C0116,12,000,00000,ARUNACHAL PRADESH,006102, Bhojpuri,28186,17017,11169,10933,6565,4368,17253,10452,6801
C0116,12,000,00000,ARUNACHAL PRADESH,006123, Brajbhasha,59,43,16,31,23,8,28,20,8
C0116,12,000,00000,ARUNACHAL PRADESH,006125, Bundeli/Bundel khandi,27,22,5,16,12,4,11,10,1
C0116,12,000,00000,ARUNACHAL PRADESH,006142, Chhattisgarhi,38,29,9,30,21,9,8,8,0
C0116,12,000,00000,ARUNACHAL PRADESH,006173, Dhundhari,5,4,1,3,2,1,2,2,0
C0116,12,000,00000,ARUNACHAL PRADESH,006195, Garhwali,443,366,77,232,207,25,211,159,52
