Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,18,000,00000,ASSAM,001000,1 ASSAMESE,15095797,7674557,7421240,13040275,6633671,6406604,2055522,1040886,1014636
C0116,18,000,00000,ASSAM,001002, Assamese,14609227,7424577,7184650,12580262,6397158,6183104,2028965,1027419,1001546
C0116,18,000,00000,ASSAM,001999,1 Others,486570,249980,236590,460013,236513,223500,26557,13467,13090
C0116,18,000,00000,ASSAM,002000,2 BENGALI ,9024324,4615185,4409139,7562421,3873398,3689023,1461903,741787,720116
C0116,18,000,00000,ASSAM,002007, Bengali,8786827,4493894,4292933,7335159,3757301,3577858,1451668,736593,715075
C0116,18,000,00000,ASSAM,002011, Chakma,3166,1629,1537,2946,1509,1437,220,120,100
C0116,18,000,00000,ASSAM,002015, Haijong/Hajong,27521,14035,13486,25642,13097,12545,1879,938,941
C0116,18,000,00000,ASSAM,002044, Rajbangsi,191438,97734,93704,183324,93604,89720,8114,4130,3984
C0116,18,000,00000,ASSAM,002999,2 Others,15372,7893,7479,15350,7887,7463,22,6,16
C0116,18,000,00000,ASSAM,003000,3 BODO ,1416125,709793,706332,1365994,684736,681258,50131,25057,25074
C0116,18,000,00000,ASSAM,003001, Bodo/Boro,1407711,705512,702199,1357892,680629,677263,49819,24883,24936
C0116,18,000,00000,ASSAM,003003, Kachari,8382,4265,4117,8081,4096,3985,301,169,132
C0116,18,000,00000,ASSAM,003004, Mech/Mechhia,32,16,16,21,11,10,11,5,6
C0116,18,000,00000,ASSAM,004000,4 DOGRI ,1561,1410,151,1160,1057,103,401,353,48
C0116,18,000,00000,ASSAM,004001, Dogri,1561,1410,151,1160,1057,103,401,353,48
C0116,18,000,00000,ASSAM,005000,5 GUJARATI,7660,4238,3422,6559,3602,2957,1101,636,465
C0116,18,000,00000,ASSAM,005018, Gujarati,1932,1360,572,993,814,179,939,546,393
C0116,18,000,00000,ASSAM,005019, Gujrao/Gujrau,1,1,0,0,0,0,1,1,0
C0116,18,000,00000,ASSAM,005052, Pattani,8,5,3,8,5,3,0,0,0
C0116,18,000,00000,ASSAM,005999,5 Others,5719,2872,2847,5558,2783,2775,161,89,72
C0116,18,000,00000,ASSAM,006000,6 HINDI ,2101435,1122149,979286,1554646,815955,738691,546789,306194,240595
C0116,18,000,00000,ASSAM,006030, Awadhi,49,38,11,44,35,9,5,3,2
C0116,18,000,00000,ASSAM,006040, Baghati/Baghati Pahari,1,0,1,1,0,1,0,0,0
C0116,18,000,00000,ASSAM,006042, Bagheli/Baghel Khandi,3,3,0,3,3,0,0,0,0
C0116,18,000,00000,ASSAM,006066, Banjari,1,1,0,1,1,0,0,0,0
C0116,18,000,00000,ASSAM,006086, Bhadrawahi,4,3,1,3,2,1,1,1,0
C0116,18,000,00000,ASSAM,006089, Bhagoria,91,43,48,62,29,33,29,14,15
C0116,18,000,00000,ASSAM,006096, Bharmauri/Gaddi,8,7,1,4,4,0,4,3,1
C0116,18,000,00000,ASSAM,006102, Bhojpuri,278052,148700,129352,220904,116344,104560,57148,32356,24792
C0116,18,000,00000,ASSAM,006123, Brajbhasha,136,86,50,113,67,46,23,19,4
C0116,18,000,00000,ASSAM,006125, Bundeli/Bundel khandi,41,31,10,34,27,7,7,4,3
C0116,18,000,00000,ASSAM,006133, Chambeali/Chamrali,5,3,2,5,3,2,0,0,0
C0116,18,000,00000,ASSAM,006142, Chhattisgarhi,7147,3641,3506,7088,3609,3479,59,32,27
C0116,18,000,00000,ASSAM,006149, Churahi,11,5,6,11,5,6,0,0,0
C0116,18,000,00000,ASSAM,006173, Dhundhari,12,5,7,8,5,3,4,0,4
