Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,10,000,00000,BIHAR,001000,1 ASSAMESE,2087,1408,679,1447,873,574,640,535,105
C0116,10,000,00000,BIHAR,001002, Assamese,2084,1405,679,1444,870,574,640,535,105
C0116,10,000,00000,BIHAR,001999,1 Others,3,3,0,3,3,0,0,0,0
C0116,10,000,00000,BIHAR,002000,2 BENGALI ,810771,416561,394210,734058,377103,356955,76713,39458,37255
C0116,10,000,00000,BIHAR,002007, Bengali,807743,414891,392852,731331,375605,355726,76412,39286,37126
C0116,10,000,00000,BIHAR,002011, Chakma,18,18,0,3,3,0,15,15,0
C0116,10,000,00000,BIHAR,002044, Rajbangsi,941,497,444,911,478,433,30,19,11
C0116,10,000,00000,BIHAR,002999,2 Others,2069,1155,914,1813,1017,796,256,138,118
C0116,10,000,00000,BIHAR,003000,3 BODO ,19,18,1,12,11,1,7,7,0
C0116,10,000,00000,BIHAR,003001, Bodo/Boro,16,15,1,11,10,1,5,5,0
C0116,10,000,00000,BIHAR,003003, Kachari,2,2,0,0,0,0,2,2,0
C0116,10,000,00000,BIHAR,003004, Mech/Mechhia,1,1,0,1,1,0,0,0,0
C0116,10,000,00000,BIHAR,004000,4 DOGRI ,254,245,9,150,150,0,104,95,9
C0116,10,000,00000,BIHAR,004001, Dogri,254,245,9,150,150,0,104,95,9
C0116,10,000,00000,BIHAR,005000,5 GUJARATI,8297,4372,3925,6711,3476,3235,1586,896,690
C0116,10,000,00000,BIHAR,005018, Gujarati,2216,1234,982,668,360,308,1548,874,674
C0116,10,000,00000,BIHAR,005052, Pattani,1113,567,546,1100,557,543,13,10,3
C0116,10,000,00000,BIHAR,005999,5 Others,4968,2571,2397,4943,2559,2384,25,12,13
C0116,10,000,00000,BIHAR,006000,6 HINDI ,80698466,42112266,38586200,71381862,37186865,34194997,9316604,4925401,4391203
C0116,10,000,00000,BIHAR,006030, Awadhi,373,213,160,223,119,104,150,94,56
C0116,10,000,00000,BIHAR,006042, Bagheli/Baghel Khandi,26,13,13,0,0,0,26,13,13
C0116,10,000,00000,BIHAR,006096, Bharmauri/Gaddi,20,9,11,17,9,8,3,0,3
C0116,10,000,00000,BIHAR,006102, Bhojpuri,25881691,13355365,12526326,23870948,12298184,11572764,2010743,1057181,953562
C0116,10,000,00000,BIHAR,006119, Bishnoi,10927,4377,6550,9372,3687,5685,1555,690,865
C0116,10,000,00000,BIHAR,006123, Brajbhasha,1602,867,735,1342,727,615,260,140,120
C0116,10,000,00000,BIHAR,006125, Bundeli/Bundel khandi,6,4,2,2,2,0,4,2,2
C0116,10,000,00000,BIHAR,006142, Chhattisgarhi,130,64,66,119,58,61,11,6,5
C0116,10,000,00000,BIHAR,006173, Dhundhari,223,83,140,57,26,31,166,57,109
C0116,10,000,00000,BIHAR,006195, Garhwali,68,61,7,29,26,3,39,35,4
C0116,10,000,00000,BIHAR,006198, Gawari,10040,5234,4806,10003,5216,4787,37,18,19
C0116,10,000,00000,BIHAR,006207, Gojri/Gujjari/Gujar,3,3,0,2,2,0,1,1,0
C0116,10,000,00000,BIHAR,006231, Handuri,1,1,0,1,1,0,0,0,0
C0116,10,000,00000,BIHAR,006232, Hara/Harauti,1,1,0,1,1,0,0,0,0
C0116,10,000,00000,BIHAR,006235, Haryanvi,809,472,337,218,129,89,591,343,248
C0116,10,000,00000,BIHAR,006240, Hindi,26590625,14007033,12583592,21551655,11334021,10217634,5038970,2673012,2365958
C0116,10,000,00000,BIHAR,006265, Jaunpuri/Jaunsari,1,1,0,1,1,0,0,0,0
C0116,10,000,00000,BIHAR,006291, Kangri,1,1,0,1,1,0,0,0,0
