Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,04,000,00000,CHANDIGARH,001000,1 ASSAMESE,435,292,143,29,20,9,406,272,134
C0116,04,000,00000,CHANDIGARH,001002, Assamese,435,292,143,29,20,9,406,272,134
C0116,04,000,00000,CHANDIGARH,002000,2 BENGALI ,6236,3483,2753,177,98,79,6059,3385,2674
C0116,04,000,00000,CHANDIGARH,002007, Bengali,6231,3479,2752,177,98,79,6054,3381,2673
C0116,04,000,00000,CHANDIGARH,002011, Chakma,5,4,1,0,0,0,5,4,1
C0116,04,000,00000,CHANDIGARH,003000,3 BODO ,6,5,1,0,0,0,6,5,1
C0116,04,000,00000,CHANDIGARH,003001, Bodo/Boro,6,5,1,0,0,0,6,5,1
C0116,04,000,00000,CHANDIGARH,004000,4 DOGRI ,1047,613,434,21,15,6,1026,598,428
C0116,04,000,00000,CHANDIGARH,004001, Dogri,1047,613,434,21,15,6,1026,598,428
C0116,04,000,00000,CHANDIGARH,005000,5 GUJARATI,1573,828,745,9,6,3,1564,822,742
C0116,04,000,00000,CHANDIGARH,005018, Gujarati,1561,820,741,9,6,3,1552,814,738
C0116,04,000,00000,CHANDIGARH,005057, Saurashtra/Saurashtri,4,3,1,0,0,0,4,3,1
C0116,04,000,00000,CHANDIGARH,005999,5 Others,8,5,3,0,0,0,8,5,3
C0116,04,000,00000,CHANDIGARH,006000,6 HINDI ,776775,433729,343046,20380,12450,7930,756395,421279,335116
C0116,04,000,00000,CHANDIGARH,006030, Awadhi,1381,839,542,15,8,7,1366,831,535
C0116,04,000,00000,CHANDIGARH,006042, Bagheli/Baghel Khandi,2,1,1,0,0,0,2,1,1
C0116,04,000,00000,CHANDIGARH,006096, Bharmauri/Gaddi,20,10,10,0,0,0,20,10,10
C0116,04,000,00000,CHANDIGARH,006102, Bhojpuri,23994,14972,9022,1429,892,537,22565,14080,8485
C0116,04,000,00000,CHANDIGARH,006123, Brajbhasha,36,24,12,0,0,0,36,24,12
C0116,04,000,00000,CHANDIGARH,006125, Bundeli/Bundel khandi,24,15,9,0,0,0,24,15,9
C0116,04,000,00000,CHANDIGARH,006133, Chambeali/Chamrali,2,1,1,0,0,0,2,1,1
C0116,04,000,00000,CHANDIGARH,006142, Chhattisgarhi,245,138,107,0,0,0,245,138,107
C0116,04,000,00000,CHANDIGARH,006173, Dhundhari,9,6,3,0,0,0,9,6,3
C0116,04,000,00000,CHANDIGARH,006195, Garhwali,8265,4685,3580,393,240,153,7872,4445,3427
C0116,04,000,00000,CHANDIGARH,006207, Gojri/Gujjari/Gujar,3,2,1,0,0,0,3,2,1
C0116,04,000,00000,CHANDIGARH,006231, Handuri,2,1,1,0,0,0,2,1,1
C0116,04,000,00000,CHANDIGARH,006235, Haryanvi,11138,6058,5080,377,218,159,10761,5840,4921
C0116,04,000,00000,CHANDIGARH,006240, Hindi,715131,397138,317993,16947,10276,6671,698184,386862,311322
C0116,04,000,00000,CHANDIGARH,006265, Jaunpuri/Jaunsari,1,1,0,0,0,0,1,1,0
C0116,04,000,00000,CHANDIGARH,006291, Kangri,249,145,104,7,5,2,242,140,102
C0116,04,000,00000,CHANDIGARH,006311, Khari Boli,103,79,24,11,7,4,92,72,20
C0116,04,000,00000,CHANDIGARH,006320, Khortha/Khotta,29,18,11,12,7,5,17,11,6
C0116,04,000,00000,CHANDIGARH,006336, Kulvi,7,4,3,0,0,0,7,4,3
C0116,04,000,00000,CHANDIGARH,006340, Kumauni,1076,601,475,87,56,31,989,545,444
C0116,04,000,00000,CHANDIGARH,006345, Kurmali Thar,1,1,0,0,0,0,1,1,0
