Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,22,000,00000,CHHATTISGARH,001000,1 ASSAMESE,1595,1211,384,1064,788,276,531,423,108
C0116,22,000,00000,CHHATTISGARH,001002, Assamese,1582,1201,381,1056,780,276,526,421,105
C0116,22,000,00000,CHHATTISGARH,001999,1 Others,13,10,3,8,8,0,5,2,3
C0116,22,000,00000,CHHATTISGARH,002000,2 BENGALI ,243597,126159,117438,131322,68604,62718,112275,57555,54720
C0116,22,000,00000,CHHATTISGARH,002007, Bengali,243570,126144,117426,131304,68592,62712,112266,57552,54714
C0116,22,000,00000,CHHATTISGARH,002011, Chakma,7,5,2,4,4,0,3,1,2
C0116,22,000,00000,CHHATTISGARH,002015, Haijong/Hajong,4,0,4,0,0,0,4,0,4
C0116,22,000,00000,CHHATTISGARH,002044, Rajbangsi,1,1,0,1,1,0,0,0,0
C0116,22,000,00000,CHHATTISGARH,002999,2 Others,15,9,6,13,7,6,2,2,0
C0116,22,000,00000,CHHATTISGARH,003000,3 BODO ,88,79,9,54,53,1,34,26,8
C0116,22,000,00000,CHHATTISGARH,003001, Bodo/Boro,87,78,9,53,52,1,34,26,8
C0116,22,000,00000,CHHATTISGARH,003004, Mech/Mechhia,1,1,0,1,1,0,0,0,0
C0116,22,000,00000,CHHATTISGARH,004000,4 DOGRI ,747,698,49,397,395,2,350,303,47
C0116,22,000,00000,CHHATTISGARH,004001, Dogri,747,698,49,397,395,2,350,303,47
C0116,22,000,00000,CHHATTISGARH,005000,5 GUJARATI,39116,20028,19088,4981,2668,2313,34135,17360,16775
C0116,22,000,00000,CHHATTISGARH,005018, Gujarati,35574,18166,17408,2756,1496,1260,32818,16670,16148
C0116,22,000,00000,CHHATTISGARH,005057, Saurashtra/Saurashtri,21,10,11,0,0,0,21,10,11
C0116,22,000,00000,CHHATTISGARH,005999,5 Others,3521,1852,1669,2225,1172,1053,1296,680,616
C0116,22,000,00000,CHHATTISGARH,006000,6 HINDI ,21361927,10751557,10610370,16374316,8198930,8175386,4987611,2552627,2434984
C0116,22,000,00000,CHHATTISGARH,006030, Awadhi,2884,1468,1416,911,472,439,1973,996,977
C0116,22,000,00000,CHHATTISGARH,006040, Baghati/Baghati Pahari,10,5,5,5,1,4,5,4,1
C0116,22,000,00000,CHHATTISGARH,006042, Bagheli/Baghel Khandi,38811,19742,19069,31224,15698,15526,7587,4044,3543
C0116,22,000,00000,CHHATTISGARH,006066, Banjari,9409,4654,4755,8515,4177,4338,894,477,417
C0116,22,000,00000,CHHATTISGARH,006086, Bhadrawahi,6,5,1,5,4,1,1,1,0
C0116,22,000,00000,CHHATTISGARH,006089, Bhagoria,20772,10212,10560,20749,10202,10547,23,10,13
C0116,22,000,00000,CHHATTISGARH,006096, Bharmauri/Gaddi,47,27,20,14,9,5,33,18,15
C0116,22,000,00000,CHHATTISGARH,006102, Bhojpuri,198710,105297,93413,107333,55726,51607,91377,49571,41806
C0116,22,000,00000,CHHATTISGARH,006123, Brajbhasha,964,547,417,473,255,218,491,292,199
C0116,22,000,00000,CHHATTISGARH,006125, Bundeli/Bundel khandi,6081,3225,2856,1695,897,798,4386,2328,2058
C0116,22,000,00000,CHHATTISGARH,006133, Chambeali/Chamrali,1,1,0,0,0,0,1,1,0
C0116,22,000,00000,CHHATTISGARH,006142, Chhattisgarhi,15812522,7902447,7910075,13160536,6565369,6595167,2651986,1337078,1314908
C0116,22,000,00000,CHHATTISGARH,006149, Churahi,1,1,0,0,0,0,1,1,0
C0116,22,000,00000,CHHATTISGARH,006173, Dhundhari,45,25,20,0,0,0,45,25,20
