Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,26,000,00000,DADRA & NAGAR HAVELI,001000,1 ASSAMESE,957,866,91,419,391,28,538,475,63
C0116,26,000,00000,DADRA & NAGAR HAVELI,001002, Assamese,957,866,91,419,391,28,538,475,63
C0116,26,000,00000,DADRA & NAGAR HAVELI,002000,2 BENGALI ,3116,2197,919,592,480,112,2524,1717,807
C0116,26,000,00000,DADRA & NAGAR HAVELI,002007, Bengali,3109,2191,918,586,475,111,2523,1716,807
C0116,26,000,00000,DADRA & NAGAR HAVELI,002011, Chakma,4,4,0,4,4,0,0,0,0
C0116,26,000,00000,DADRA & NAGAR HAVELI,002999,2 Others,3,2,1,2,1,1,1,1,0
C0116,26,000,00000,DADRA & NAGAR HAVELI,003000,3 BODO ,28,27,1,12,12,0,16,15,1
C0116,26,000,00000,DADRA & NAGAR HAVELI,003001, Bodo/Boro,28,27,1,12,12,0,16,15,1
C0116,26,000,00000,DADRA & NAGAR HAVELI,004000,4 DOGRI ,3,2,1,0,0,0,3,2,1
C0116,26,000,00000,DADRA & NAGAR HAVELI,004001, Dogri,3,2,1,0,0,0,3,2,1
C0116,26,000,00000,DADRA & NAGAR HAVELI,005000,5 GUJARATI,73831,37477,36354,28697,14380,14317,45134,23097,22037
C0116,26,000,00000,DADRA & NAGAR HAVELI,005018, Gujarati,73412,37267,36145,28402,14236,14166,45010,23031,21979
C0116,26,000,00000,DADRA & NAGAR HAVELI,005057, Saurashtra/Saurashtri,15,6,9,0,0,0,15,6,9
C0116,26,000,00000,DADRA & NAGAR HAVELI,005999,5 Others,404,204,200,295,144,151,109,60,49
C0116,26,000,00000,DADRA & NAGAR HAVELI,006000,6 HINDI ,89905,62122,27783,19981,15789,4192,69924,46333,23591
C0116,26,000,00000,DADRA & NAGAR HAVELI,006030, Awadhi,126,102,24,16,13,3,110,89,21
C0116,26,000,00000,DADRA & NAGAR HAVELI,006040, Baghati/Baghati Pahari,2,2,0,0,0,0,2,2,0
C0116,26,000,00000,DADRA & NAGAR HAVELI,006042, Bagheli/Baghel Khandi,51,47,4,16,16,0,35,31,4
C0116,26,000,00000,DADRA & NAGAR HAVELI,006066, Banjari,90,41,49,0,0,0,90,41,49
C0116,26,000,00000,DADRA & NAGAR HAVELI,006089, Bhagoria,3,3,0,0,0,0,3,3,0
C0116,26,000,00000,DADRA & NAGAR HAVELI,006096, Bharmauri/Gaddi,3,2,1,0,0,0,3,2,1
C0116,26,000,00000,DADRA & NAGAR HAVELI,006102, Bhojpuri,13270,9194,4076,3053,2435,618,10217,6759,3458
C0116,26,000,00000,DADRA & NAGAR HAVELI,006123, Brajbhasha,11,6,5,3,3,0,8,3,5
C0116,26,000,00000,DADRA & NAGAR HAVELI,006125, Bundeli/Bundel khandi,133,102,31,16,11,5,117,91,26
C0116,26,000,00000,DADRA & NAGAR HAVELI,006142, Chhattisgarhi,33,21,12,9,8,1,24,13,11
C0116,26,000,00000,DADRA & NAGAR HAVELI,006195, Garhwali,119,75,44,4,3,1,115,72,43
C0116,26,000,00000,DADRA & NAGAR HAVELI,006207, Gojri/Gujjari/Gujar,1,1,0,0,0,0,1,1,0
C0116,26,000,00000,DADRA & NAGAR HAVELI,006235, Haryanvi,26,17,9,5,3,2,21,14,7
C0116,26,000,00000,DADRA & NAGAR HAVELI,006240, Hindi,68788,47957,20831,15323,12247,3076,53465,35710,17755
C0116,26,000,00000,DADRA & NAGAR HAVELI,006265, Jaunpuri/Jaunsari,6,6,0,6,6,0,0,0,0
C0116,26,000,00000,DADRA & NAGAR HAVELI,006311, Khari Boli,19,16,3,16,14,2,3,2,1
