Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,25,000,00000,DAMAN & DIU,001000,1 ASSAMESE,1201,1087,114,153,121,32,1048,966,82
C0116,25,000,00000,DAMAN & DIU,001002, Assamese,1201,1087,114,153,121,32,1048,966,82
C0116,25,000,00000,DAMAN & DIU,002000,2 BENGALI ,5232,4050,1182,385,295,90,4847,3755,1092
C0116,25,000,00000,DAMAN & DIU,002007, Bengali,5232,4050,1182,385,295,90,4847,3755,1092
C0116,25,000,00000,DAMAN & DIU,003000,3 BODO ,50,43,7,29,22,7,21,21,0
C0116,25,000,00000,DAMAN & DIU,003001, Bodo/Boro,50,43,7,29,22,7,21,21,0
C0116,25,000,00000,DAMAN & DIU,004000,4 DOGRI ,2,1,1,0,0,0,2,1,1
C0116,25,000,00000,DAMAN & DIU,004001, Dogri,2,1,1,0,0,0,2,1,1
C0116,25,000,00000,DAMAN & DIU,005000,5 GUJARATI,123648,62390,61258,52097,26348,25749,71551,36042,35509
C0116,25,000,00000,DAMAN & DIU,005018, Gujarati,123176,62159,61017,52081,26339,25742,71095,35820,35275
C0116,25,000,00000,DAMAN & DIU,005999,5 Others,472,231,241,16,9,7,456,222,234
C0116,25,000,00000,DAMAN & DIU,006000,6 HINDI ,88312,67144,21168,5711,4237,1474,82601,62907,19694
C0116,25,000,00000,DAMAN & DIU,006030, Awadhi,68,43,25,1,1,0,67,42,25
C0116,25,000,00000,DAMAN & DIU,006040, Baghati/Baghati Pahari,2,1,1,0,0,0,2,1,1
C0116,25,000,00000,DAMAN & DIU,006042, Bagheli/Baghel Khandi,51,50,1,12,12,0,39,38,1
C0116,25,000,00000,DAMAN & DIU,006066, Banjari,44,23,21,0,0,0,44,23,21
C0116,25,000,00000,DAMAN & DIU,006102, Bhojpuri,12116,9355,2761,595,448,147,11521,8907,2614
C0116,25,000,00000,DAMAN & DIU,006123, Brajbhasha,1,1,0,0,0,0,1,1,0
C0116,25,000,00000,DAMAN & DIU,006125, Bundeli/Bundel khandi,133,93,40,23,22,1,110,71,39
C0116,25,000,00000,DAMAN & DIU,006142, Chhattisgarhi,42,31,11,0,0,0,42,31,11
C0116,25,000,00000,DAMAN & DIU,006173, Dhundhari,13,7,6,0,0,0,13,7,6
C0116,25,000,00000,DAMAN & DIU,006195, Garhwali,55,41,14,10,10,0,45,31,14
C0116,25,000,00000,DAMAN & DIU,006207, Gojri/Gujjari/Gujar,5,3,2,0,0,0,5,3,2
C0116,25,000,00000,DAMAN & DIU,006235, Haryanvi,24,10,14,5,3,2,19,7,12
C0116,25,000,00000,DAMAN & DIU,006240, Hindi,70884,54130,16754,4575,3396,1179,66309,50734,15575
C0116,25,000,00000,DAMAN & DIU,006311, Khari Boli,20,14,6,7,6,1,13,8,5
C0116,25,000,00000,DAMAN & DIU,006320, Khortha/Khotta,183,174,9,17,17,0,166,157,9
C0116,25,000,00000,DAMAN & DIU,006340, Kumauni,19,13,6,0,0,0,19,13,6
C0116,25,000,00000,DAMAN & DIU,006376, Magadhi/Magahi,389,299,90,45,36,9,344,263,81
C0116,25,000,00000,DAMAN & DIU,006400, Marwari,2231,1442,789,223,144,79,2008,1298,710
C0116,25,000,00000,DAMAN & DIU,006408, Mewari,11,4,7,2,1,1,9,3,6
C0116,25,000,00000,DAMAN & DIU,006420, Nagpuria,40,34,6,0,0,0,40,34,6
C0116,25,000,00000,DAMAN & DIU,006439, Pahari,23,16,7,0,0,0,23,16,7
C0116,25,000,00000,DAMAN & DIU,006489, Rajasthani,976,632,344,71,47,24,905,585,320
C0116,25,000,00000,DAMAN & DIU,006503, Sadan/Sadri,43,31,12,0,0,0,43,31,12
