Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,07,000,00000,NCT OF DELHI,001000,1 ASSAMESE,8573,4762,3811,58,34,24,8515,4728,3787
C0116,07,000,00000,NCT OF DELHI,001002, Assamese,8436,4673,3763,58,34,24,8378,4639,3739
C0116,07,000,00000,NCT OF DELHI,001999,1 Others,137,89,48,0,0,0,137,89,48
C0116,07,000,00000,NCT OF DELHI,002000,2 BENGALI ,215960,113544,102416,3859,2055,1804,212101,111489,100612
C0116,07,000,00000,NCT OF DELHI,002007, Bengali,215818,113457,102361,3855,2052,1803,211963,111405,100558
C0116,07,000,00000,NCT OF DELHI,002011, Chakma,103,64,39,0,0,0,103,64,39
C0116,07,000,00000,NCT OF DELHI,002015, Haijong/Hajong,6,4,2,0,0,0,6,4,2
C0116,07,000,00000,NCT OF DELHI,002044, Rajbangsi,3,3,0,0,0,0,3,3,0
C0116,07,000,00000,NCT OF DELHI,002999,2 Others,30,16,14,4,3,1,26,13,13
C0116,07,000,00000,NCT OF DELHI,003000,3 BODO ,293,163,130,0,0,0,293,163,130
C0116,07,000,00000,NCT OF DELHI,003001, Bodo/Boro,281,154,127,0,0,0,281,154,127
C0116,07,000,00000,NCT OF DELHI,003003, Kachari,3,2,1,0,0,0,3,2,1
C0116,07,000,00000,NCT OF DELHI,003004, Mech/Mechhia,2,1,1,0,0,0,2,1,1
C0116,07,000,00000,NCT OF DELHI,003999,3 Others,7,6,1,0,0,0,7,6,1
C0116,07,000,00000,NCT OF DELHI,004000,4 DOGRI ,6350,3942,2408,46,24,22,6304,3918,2386
C0116,07,000,00000,NCT OF DELHI,004001, Dogri,6350,3942,2408,46,24,22,6304,3918,2386
C0116,07,000,00000,NCT OF DELHI,005000,5 GUJARATI,40613,20896,19717,84,42,42,40529,20854,19675
C0116,07,000,00000,NCT OF DELHI,005018, Gujarati,40349,20757,19592,84,42,42,40265,20715,19550
C0116,07,000,00000,NCT OF DELHI,005052, Pattani,1,0,1,0,0,0,1,0,1
C0116,07,000,00000,NCT OF DELHI,005057, Saurashtra/Saurashtri,168,87,81,0,0,0,168,87,81
C0116,07,000,00000,NCT OF DELHI,005999,5 Others,95,52,43,0,0,0,95,52,43
C0116,07,000,00000,NCT OF DELHI,006000,6 HINDI ,14255526,7656766,6598760,401801,216950,184851,13853725,7439816,6413909
C0116,07,000,00000,NCT OF DELHI,006030, Awadhi,12809,7372,5437,171,99,72,12638,7273,5365
C0116,07,000,00000,NCT OF DELHI,006040, Baghati/Baghati Pahari,19,8,11,0,0,0,19,8,11
C0116,07,000,00000,NCT OF DELHI,006042, Bagheli/Baghel Khandi,119,73,46,0,0,0,119,73,46
C0116,07,000,00000,NCT OF DELHI,006066, Banjari,24,12,12,4,2,2,20,10,10
C0116,07,000,00000,NCT OF DELHI,006086, Bhadrawahi,24,16,8,0,0,0,24,16,8
C0116,07,000,00000,NCT OF DELHI,006089, Bhagoria,1,1,0,0,0,0,1,1,0
C0116,07,000,00000,NCT OF DELHI,006096, Bharmauri/Gaddi,16,10,6,0,0,0,16,10,6
C0116,07,000,00000,NCT OF DELHI,006102, Bhojpuri,226103,132120,93983,5772,3326,2446,220331,128794,91537
C0116,07,000,00000,NCT OF DELHI,006119, Bishnoi,1,0,1,0,0,0,1,0,1
C0116,07,000,00000,NCT OF DELHI,006123, Brajbhasha,4713,2624,2089,85,46,39,4628,2578,2050
C0116,07,000,00000,NCT OF DELHI,006125, Bundeli/Bundel khandi,4881,2656,2225,523,262,261,4358,2394,1964
C0116,07,000,00000,NCT OF DELHI,006142, Chhattisgarhi,1280,719,561,19,12,7,1261,707,554
