Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,30,000,00000,GOA,001000,1 ASSAMESE,1107,937,170,337,296,41,770,641,129
C0116,30,000,00000,GOA,001002, Assamese,1098,933,165,333,296,37,765,637,128
C0116,30,000,00000,GOA,001999,1 Others,9,4,5,4,0,4,5,4,1
C0116,30,000,00000,GOA,002000,2 BENGALI ,7099,4954,2145,1283,932,351,5816,4022,1794
C0116,30,000,00000,GOA,002007, Bengali,7099,4954,2145,1283,932,351,5816,4022,1794
C0116,30,000,00000,GOA,003000,3 BODO ,62,52,10,35,29,6,27,23,4
C0116,30,000,00000,GOA,003001, Bodo/Boro,62,52,10,35,29,6,27,23,4
C0116,30,000,00000,GOA,004000,4 DOGRI ,105,87,18,0,0,0,105,87,18
C0116,30,000,00000,GOA,004001, Dogri,105,87,18,0,0,0,105,87,18
C0116,30,000,00000,GOA,005000,5 GUJARATI,6846,3566,3280,870,440,430,5976,3126,2850
C0116,30,000,00000,GOA,005018, Gujarati,6694,3474,3220,856,430,426,5838,3044,2794
C0116,30,000,00000,GOA,005019, Gujrao/Gujrau,3,2,1,0,0,0,3,2,1
C0116,30,000,00000,GOA,005057, Saurashtra/Saurashtri,14,9,5,2,1,1,12,8,4
C0116,30,000,00000,GOA,005999,5 Others,135,81,54,12,9,3,123,72,51
C0116,30,000,00000,GOA,006000,6 HINDI ,150017,87445,62572,26926,16024,10902,123091,71421,51670
C0116,30,000,00000,GOA,006030, Awadhi,44,21,23,1,1,0,43,20,23
C0116,30,000,00000,GOA,006042, Bagheli/Baghel Khandi,23,15,8,4,1,3,19,14,5
C0116,30,000,00000,GOA,006066, Banjari,1728,879,849,287,144,143,1441,735,706
C0116,30,000,00000,GOA,006096, Bharmauri/Gaddi,3,0,3,0,0,0,3,0,3
C0116,30,000,00000,GOA,006102, Bhojpuri,9185,6556,2629,2135,1705,430,7050,4851,2199
C0116,30,000,00000,GOA,006123, Brajbhasha,17,17,0,0,0,0,17,17,0
C0116,30,000,00000,GOA,006125, Bundeli/Bundel khandi,8,4,4,0,0,0,8,4,4
C0116,30,000,00000,GOA,006133, Chambeali/Chamrali,1,1,0,0,0,0,1,1,0
C0116,30,000,00000,GOA,006142, Chhattisgarhi,89,71,18,9,6,3,80,65,15
C0116,30,000,00000,GOA,006173, Dhundhari,5,4,1,0,0,0,5,4,1
C0116,30,000,00000,GOA,006195, Garhwali,170,110,60,18,9,9,152,101,51
C0116,30,000,00000,GOA,006198, Gawari,12,10,2,5,3,2,7,7,0
C0116,30,000,00000,GOA,006207, Gojri/Gujjari/Gujar,2,2,0,0,0,0,2,2,0
C0116,30,000,00000,GOA,006231, Handuri,8,4,4,8,4,4,0,0,0
C0116,30,000,00000,GOA,006232, Hara/Harauti,1,1,0,0,0,0,1,1,0
C0116,30,000,00000,GOA,006235, Haryanvi,192,130,62,0,0,0,192,130,62
C0116,30,000,00000,GOA,006240, Hindi,126020,72661,53359,21846,12661,9185,104174,60000,44174
C0116,30,000,00000,GOA,006291, Kangri,4,4,0,0,0,0,4,4,0
C0116,30,000,00000,GOA,006311, Khari Boli,2,1,1,2,1,1,0,0,0
C0116,30,000,00000,GOA,006320, Khortha/Khotta,85,81,4,55,53,2,30,28,2
C0116,30,000,00000,GOA,006340, Kumauni,45,33,12,0,0,0,45,33,12
C0116,30,000,00000,GOA,006345, Kurmali Thar,5,3,2,0,0,0,5,3,2
C0116,30,000,00000,GOA,006353, Lamani/Lambadi,7300,3768,3532,1416,726,690,5884,3042,2842
C0116,30,000,00000,GOA,006358, Lodhi,10,8,2,3,2,1,7,6,1
