Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,24,000,00000,GUJARAT,001000,1 ASSAMESE,3935,2742,1193,1000,805,195,2935,1937,998
C0116,24,000,00000,GUJARAT,001002, Assamese,3924,2736,1188,992,799,193,2932,1937,995
C0116,24,000,00000,GUJARAT,001999,1 Others,11,6,5,8,6,2,3,0,3
C0116,24,000,00000,GUJARAT,002000,2 BENGALI ,79648,49910,29738,9456,6816,2640,70192,43094,27098
C0116,24,000,00000,GUJARAT,002007, Bengali,79626,49893,29733,9441,6804,2637,70185,43089,27096
C0116,24,000,00000,GUJARAT,002015, Haijong/Hajong,3,3,0,1,1,0,2,2,0
C0116,24,000,00000,GUJARAT,002999,2 Others,19,14,5,14,11,3,5,3,2
C0116,24,000,00000,GUJARAT,003000,3 BODO ,138,92,46,57,54,3,81,38,43
C0116,24,000,00000,GUJARAT,003001, Bodo/Boro,126,86,40,57,54,3,69,32,37
C0116,24,000,00000,GUJARAT,003003, Kachari,11,5,6,0,0,0,11,5,6
C0116,24,000,00000,GUJARAT,003004, Mech/Mechhia,1,1,0,0,0,0,1,1,0
C0116,24,000,00000,GUJARAT,004000,4 DOGRI ,2026,1598,428,111,88,23,1915,1510,405
C0116,24,000,00000,GUJARAT,004001, Dogri,2026,1598,428,111,88,23,1915,1510,405
C0116,24,000,00000,GUJARAT,005000,5 GUJARATI,51958730,26774337,25184393,32460163,16624382,15835781,19498567,10149955,9348612
C0116,24,000,00000,GUJARAT,005018, Gujarati,51937867,26763937,25173930,32457726,16623187,15834539,19480141,10140750,9339391
C0116,24,000,00000,GUJARAT,005052, Pattani,91,51,40,1,1,0,90,50,40
C0116,24,000,00000,GUJARAT,005057, Saurashtra/Saurashtri,90,50,40,9,5,4,81,45,36
C0116,24,000,00000,GUJARAT,005999,5 Others,20682,10299,10383,2427,1189,1238,18255,9110,9145
C0116,24,000,00000,GUJARAT,006000,6 HINDI ,4264868,2488970,1775898,509321,297057,212264,3755547,2191913,1563634
C0116,24,000,00000,GUJARAT,006030, Awadhi,1233,813,420,132,97,35,1101,716,385
C0116,24,000,00000,GUJARAT,006040, Baghati/Baghati Pahari,74,45,29,7,2,5,67,43,24
C0116,24,000,00000,GUJARAT,006042, Bagheli/Baghel Khandi,46,36,10,19,14,5,27,22,5
C0116,24,000,00000,GUJARAT,006066, Banjari,4919,2502,2417,4018,2022,1996,901,480,421
C0116,24,000,00000,GUJARAT,006086, Bhadrawahi,20,15,5,0,0,0,20,15,5
C0116,24,000,00000,GUJARAT,006089, Bhagoria,25,25,0,25,25,0,0,0,0
C0116,24,000,00000,GUJARAT,006096, Bharmauri/Gaddi,756,408,348,178,93,85,578,315,263
C0116,24,000,00000,GUJARAT,006102, Bhojpuri,137956,96878,41078,17964,14225,3739,119992,82653,37339
C0116,24,000,00000,GUJARAT,006123, Brajbhasha,163,106,57,7,7,0,156,99,57
C0116,24,000,00000,GUJARAT,006125, Bundeli/Bundel khandi,472,308,164,325,211,114,147,97,50
C0116,24,000,00000,GUJARAT,006142, Chhattisgarhi,1708,939,769,644,383,261,1064,556,508
C0116,24,000,00000,GUJARAT,006149, Churahi,8,5,3,0,0,0,8,5,3
C0116,24,000,00000,GUJARAT,006173, Dhundhari,63,37,26,9,7,2,54,30,24
C0116,24,000,00000,GUJARAT,006195, Garhwali,591,353,238,64,42,22,527,311,216
C0116,24,000,00000,GUJARAT,006198, Gawari,1,0,1,1,0,1,0,0,0
C0116,24,000,00000,GUJARAT,006207, Gojri/Gujjari/Gujar,3496,1853,1643,3152,1638,1514,344,215,129
C0116,24,000,00000,GUJARAT,006231, Handuri,11,4,7,5,2,3,6,2,4
