Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,06,000,00000,HARYANA,001000,1 ASSAMESE,4204,2236,1968,1666,800,866,2538,1436,1102
C0116,06,000,00000,HARYANA,001002, Assamese,4176,2221,1955,1659,797,862,2517,1424,1093
C0116,06,000,00000,HARYANA,001999,1 Others,28,15,13,7,3,4,21,12,9
C0116,06,000,00000,HARYANA,002000,2 BENGALI ,70948,38550,32398,14239,7846,6393,56709,30704,26005
C0116,06,000,00000,HARYANA,002007, Bengali,70908,38530,32378,14220,7840,6380,56688,30690,25998
C0116,06,000,00000,HARYANA,002011, Chakma,7,4,3,0,0,0,7,4,3
C0116,06,000,00000,HARYANA,002044, Rajbangsi,9,3,6,7,2,5,2,1,1
C0116,06,000,00000,HARYANA,002999,2 Others,24,13,11,12,4,8,12,9,3
C0116,06,000,00000,HARYANA,003000,3 BODO ,92,60,32,36,24,12,56,36,20
C0116,06,000,00000,HARYANA,003001, Bodo/Boro,90,59,31,36,24,12,54,35,19
C0116,06,000,00000,HARYANA,003004, Mech/Mechhia,2,1,1,0,0,0,2,1,1
C0116,06,000,00000,HARYANA,004000,4 DOGRI ,3129,1860,1269,1380,757,623,1749,1103,646
C0116,06,000,00000,HARYANA,004001, Dogri,3129,1860,1269,1380,757,623,1749,1103,646
C0116,06,000,00000,HARYANA,005000,5 GUJARATI,7519,4032,3487,1179,610,569,6340,3422,2918
C0116,06,000,00000,HARYANA,005018, Gujarati,6839,3681,3158,622,328,294,6217,3353,2864
C0116,06,000,00000,HARYANA,005052, Pattani,19,11,8,0,0,0,19,11,8
C0116,06,000,00000,HARYANA,005054, Ponchi,1,1,0,1,1,0,0,0,0
C0116,06,000,00000,HARYANA,005057, Saurashtra/Saurashtri,9,4,5,0,0,0,9,4,5
C0116,06,000,00000,HARYANA,005999,5 Others,651,335,316,556,281,275,95,54,41
C0116,06,000,00000,HARYANA,006000,6 HINDI ,22322157,11904478,10417679,14446655,7694941,6751714,7875502,4209537,3665965
C0116,06,000,00000,HARYANA,006030, Awadhi,8682,4615,4067,4804,2527,2277,3878,2088,1790
C0116,06,000,00000,HARYANA,006040, Baghati/Baghati Pahari,32,14,18,21,8,13,11,6,5
C0116,06,000,00000,HARYANA,006042, Bagheli/Baghel Khandi,124,66,58,43,21,22,81,45,36
C0116,06,000,00000,HARYANA,006045, Bagri Rajasthani,3,2,1,0,0,0,3,2,1
C0116,06,000,00000,HARYANA,006066, Banjari,93,56,37,89,54,35,4,2,2
C0116,06,000,00000,HARYANA,006086, Bhadrawahi,86,53,33,22,15,7,64,38,26
C0116,06,000,00000,HARYANA,006096, Bharmauri/Gaddi,287,148,139,30,15,15,257,133,124
C0116,06,000,00000,HARYANA,006102, Bhojpuri,109695,65732,43963,22486,14304,8182,87209,51428,35781
C0116,06,000,00000,HARYANA,006119, Bishnoi,844,440,404,844,440,404,0,0,0
C0116,06,000,00000,HARYANA,006123, Brajbhasha,7831,4143,3688,4740,2467,2273,3091,1676,1415
C0116,06,000,00000,HARYANA,006125, Bundeli/Bundel khandi,3049,1687,1362,1755,973,782,1294,714,580
C0116,06,000,00000,HARYANA,006133, Chambeali/Chamrali,14,7,7,4,2,2,10,5,5
C0116,06,000,00000,HARYANA,006142, Chhattisgarhi,2846,1509,1337,1851,971,880,995,538,457
C0116,06,000,00000,HARYANA,006173, Dhundhari,2,1,1,0,0,0,2,1,1
C0116,06,000,00000,HARYANA,006195, Garhwali,12207,6579,5628,1086,635,451,11121,5944,5177
C0116,06,000,00000,HARYANA,006198, Gawari,90,47,43,90,47,43,0,0,0
