Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,02,000,00000,HIMACHAL PRADESH,001000,1 ASSAMESE,1049,785,264,708,530,178,341,255,86
C0116,02,000,00000,HIMACHAL PRADESH,001002, Assamese,1040,776,264,705,527,178,335,249,86
C0116,02,000,00000,HIMACHAL PRADESH,001999,1 Others,9,9,0,3,3,0,6,6,0
C0116,02,000,00000,HIMACHAL PRADESH,002000,2 BENGALI ,6214,4139,2075,4083,2744,1339,2131,1395,736
C0116,02,000,00000,HIMACHAL PRADESH,002007, Bengali,6142,4097,2045,4011,2702,1309,2131,1395,736
C0116,02,000,00000,HIMACHAL PRADESH,002011, Chakma,2,2,0,2,2,0,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,002015, Haijong/Hajong,4,1,3,4,1,3,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,002044, Rajbangsi,8,5,3,8,5,3,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,002999,2 Others,58,34,24,58,34,24,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,003000,3 BODO ,150,127,23,37,34,3,113,93,20
C0116,02,000,00000,HIMACHAL PRADESH,003001, Bodo/Boro,103,85,18,37,34,3,66,51,15
C0116,02,000,00000,HIMACHAL PRADESH,003003, Kachari,47,42,5,0,0,0,47,42,5
C0116,02,000,00000,HIMACHAL PRADESH,004000,4 DOGRI ,23609,12177,11432,21853,11060,10793,1756,1117,639
C0116,02,000,00000,HIMACHAL PRADESH,004001, Dogri,23609,12177,11432,21853,11060,10793,1756,1117,639
C0116,02,000,00000,HIMACHAL PRADESH,005000,5 GUJARATI,10012,5123,4889,9208,4673,4535,804,450,354
C0116,02,000,00000,HIMACHAL PRADESH,005018, Gujarati,1176,705,471,410,276,134,766,429,337
C0116,02,000,00000,HIMACHAL PRADESH,005019, Gujrao/Gujrau,355,171,184,355,171,184,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,005052, Pattani,8439,4215,4224,8414,4205,4209,25,10,15
C0116,02,000,00000,HIMACHAL PRADESH,005999,5 Others,42,32,10,29,21,8,13,11,2
C0116,02,000,00000,HIMACHAL PRADESH,006000,6 HINDI ,5895529,2980690,2914839,5326104,2674487,2651617,569425,306203,263222
C0116,02,000,00000,HIMACHAL PRADESH,006030, Awadhi,522,334,188,290,191,99,232,143,89
C0116,02,000,00000,HIMACHAL PRADESH,006040, Baghati/Baghati Pahari,15066,7736,7330,14829,7617,7212,237,119,118
C0116,02,000,00000,HIMACHAL PRADESH,006042, Bagheli/Baghel Khandi,1731,843,888,1614,771,843,117,72,45
C0116,02,000,00000,HIMACHAL PRADESH,006045, Bagri Rajasthani,1,1,0,1,1,0,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,006066, Banjari,1,1,0,1,1,0,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,006086, Bhadrawahi,115,87,28,89,75,14,26,12,14
C0116,02,000,00000,HIMACHAL PRADESH,006096, Bharmauri/Gaddi,153171,76395,76776,149945,74776,75169,3226,1619,1607
C0116,02,000,00000,HIMACHAL PRADESH,006102, Bhojpuri,21973,16364,5609,13590,10037,3553,8383,6327,2056
C0116,02,000,00000,HIMACHAL PRADESH,006123, Brajbhasha,123,82,41,78,54,24,45,28,17
C0116,02,000,00000,HIMACHAL PRADESH,006125, Bundeli/Bundel khandi,121,71,50,67,35,32,54,36,18
C0116,02,000,00000,HIMACHAL PRADESH,006133, Chambeali/Chamrali,124385,61803,62582,107181,52961,54220,17204,8842,8362
C0116,02,000,00000,HIMACHAL PRADESH,006142, Chhattisgarhi,2233,1229,1004,1557,851,706,676,378,298
