Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,01,000,00000,JAMMU & KASHMIR,001000,1 ASSAMESE,8340,7881,459,2554,2455,99,5786,5426,360
C0116,01,000,00000,JAMMU & KASHMIR,001002, Assamese,7842,7398,444,2113,2020,93,5729,5378,351
C0116,01,000,00000,JAMMU & KASHMIR,001999,1 Others,498,483,15,441,435,6,57,48,9
C0116,01,000,00000,JAMMU & KASHMIR,002000,2 BENGALI ,19830,15243,4587,6984,4937,2047,12846,10306,2540
C0116,01,000,00000,JAMMU & KASHMIR,002007, Bengali,19811,15228,4583,6972,4929,2043,12839,10299,2540
C0116,01,000,00000,JAMMU & KASHMIR,002011, Chakma,12,10,2,6,4,2,6,6,0
C0116,01,000,00000,JAMMU & KASHMIR,002015, Haijong/Hajong,4,4,0,3,3,0,1,1,0
C0116,01,000,00000,JAMMU & KASHMIR,002044, Rajbangsi,1,1,0,1,1,0,0,0,0
C0116,01,000,00000,JAMMU & KASHMIR,002999,2 Others,2,0,2,2,0,2,0,0,0
C0116,01,000,00000,JAMMU & KASHMIR,003000,3 BODO ,508,473,35,121,115,6,387,358,29
C0116,01,000,00000,JAMMU & KASHMIR,003001, Bodo/Boro,485,461,24,120,115,5,365,346,19
C0116,01,000,00000,JAMMU & KASHMIR,003003, Kachari,23,12,11,1,0,1,22,12,10
C0116,01,000,00000,JAMMU & KASHMIR,004000,4 DOGRI ,2513712,1318247,1195465,1860897,973131,887766,652815,345116,307699
C0116,01,000,00000,JAMMU & KASHMIR,004001, Dogri,2513712,1318247,1195465,1860897,973131,887766,652815,345116,307699
C0116,01,000,00000,JAMMU & KASHMIR,005000,5 GUJARATI,19261,11808,7453,9426,5513,3913,9835,6295,3540
C0116,01,000,00000,JAMMU & KASHMIR,005018, Gujarati,5428,4582,846,1916,1618,298,3512,2964,548
C0116,01,000,00000,JAMMU & KASHMIR,005052, Pattani,47,22,25,37,15,22,10,7,3
C0116,01,000,00000,JAMMU & KASHMIR,005054, Ponchi,13689,7158,6531,7442,3866,3576,6247,3292,2955
C0116,01,000,00000,JAMMU & KASHMIR,005057, Saurashtra/Saurashtri,1,1,0,0,0,0,1,1,0
C0116,01,000,00000,JAMMU & KASHMIR,005999,5 Others,96,45,51,31,14,17,65,31,34
C0116,01,000,00000,JAMMU & KASHMIR,006000,6 HINDI ,2612631,1443826,1168805,2260826,1209660,1051166,351805,234166,117639
C0116,01,000,00000,JAMMU & KASHMIR,006030, Awadhi,214,140,74,130,75,55,84,65,19
C0116,01,000,00000,JAMMU & KASHMIR,006040, Baghati/Baghati Pahari,6,2,4,6,2,4,0,0,0
C0116,01,000,00000,JAMMU & KASHMIR,006042, Bagheli/Baghel Khandi,14,9,5,2,2,0,12,7,5
C0116,01,000,00000,JAMMU & KASHMIR,006066, Banjari,3,3,0,2,2,0,1,1,0
C0116,01,000,00000,JAMMU & KASHMIR,006086, Bhadrawahi,98196,50071,48125,90100,45900,44200,8096,4171,3925
C0116,01,000,00000,JAMMU & KASHMIR,006096, Bharmauri/Gaddi,24161,12272,11889,23796,12080,11716,365,192,173
C0116,01,000,00000,JAMMU & KASHMIR,006102, Bhojpuri,8824,6416,2408,1847,1409,438,6977,5007,1970
C0116,01,000,00000,JAMMU & KASHMIR,006123, Brajbhasha,99,85,14,36,28,8,63,57,6
C0116,01,000,00000,JAMMU & KASHMIR,006125, Bundeli/Bundel khandi,1354,759,595,327,168,159,1027,591,436
C0116,01,000,00000,JAMMU & KASHMIR,006133, Chambeali/Chamrali,71,36,35,62,30,32,9,6,3
