Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,20,000,00000,JHARKHAND,001000,1 ASSAMESE,1324,1046,278,582,498,84,742,548,194
C0116,20,000,00000,JHARKHAND,001002, Assamese,1310,1035,275,580,496,84,730,539,191
C0116,20,000,00000,JHARKHAND,001999,1 Others,14,11,3,2,2,0,12,9,3
C0116,20,000,00000,JHARKHAND,002000,2 BENGALI ,3213423,1643318,1570105,2428466,1240279,1188187,784957,403039,381918
C0116,20,000,00000,JHARKHAND,002007, Bengali,3212831,1643008,1569823,2427907,1239984,1187923,784924,403024,381900
C0116,20,000,00000,JHARKHAND,002011, Chakma,3,3,0,0,0,0,3,3,0
C0116,20,000,00000,JHARKHAND,002015, Haijong/Hajong,1,1,0,1,1,0,0,0,0
C0116,20,000,00000,JHARKHAND,002044, Rajbangsi,2,1,1,0,0,0,2,1,1
C0116,20,000,00000,JHARKHAND,002999,2 Others,586,305,281,558,294,264,28,11,17
C0116,20,000,00000,JHARKHAND,003000,3 BODO ,92,82,10,60,57,3,32,25,7
C0116,20,000,00000,JHARKHAND,003001, Bodo/Boro,92,82,10,60,57,3,32,25,7
C0116,20,000,00000,JHARKHAND,004000,4 DOGRI ,279,230,49,93,79,14,186,151,35
C0116,20,000,00000,JHARKHAND,004001, Dogri,279,230,49,93,79,14,186,151,35
C0116,20,000,00000,JHARKHAND,005000,5 GUJARATI,22109,11436,10673,8205,4261,3944,13904,7175,6729
C0116,20,000,00000,JHARKHAND,005018, Gujarati,14194,7392,6802,883,510,373,13311,6882,6429
C0116,20,000,00000,JHARKHAND,005052, Pattani,2,1,1,0,0,0,2,1,1
C0116,20,000,00000,JHARKHAND,005057, Saurashtra/Saurashtri,1,1,0,0,0,0,1,1,0
C0116,20,000,00000,JHARKHAND,005999,5 Others,7912,4042,3870,7322,3751,3571,590,291,299
C0116,20,000,00000,JHARKHAND,006000,6 HINDI ,20436026,10580796,9855230,15065889,7747981,7317908,5370137,2832815,2537322
C0116,20,000,00000,JHARKHAND,006030, Awadhi,3203,1747,1456,289,160,129,2914,1587,1327
C0116,20,000,00000,JHARKHAND,006040, Baghati/Baghati Pahari,15,9,6,7,5,2,8,4,4
C0116,20,000,00000,JHARKHAND,006042, Bagheli/Baghel Khandi,104,57,47,12,6,6,92,51,41
C0116,20,000,00000,JHARKHAND,006086, Bhadrawahi,23,12,11,22,12,10,1,0,1
C0116,20,000,00000,JHARKHAND,006096, Bharmauri/Gaddi,57,31,26,26,15,11,31,16,15
C0116,20,000,00000,JHARKHAND,006102, Bhojpuri,756726,404517,352209,238901,126047,112854,517825,278470,239355
C0116,20,000,00000,JHARKHAND,006123, Brajbhasha,397,238,159,54,43,11,343,195,148
C0116,20,000,00000,JHARKHAND,006125, Bundeli/Bundel khandi,481,259,222,169,95,74,312,164,148
C0116,20,000,00000,JHARKHAND,006142, Chhattisgarhi,25918,13236,12682,5217,2645,2572,20701,10591,10110
C0116,20,000,00000,JHARKHAND,006173, Dhundhari,22,13,9,4,0,4,18,13,5
C0116,20,000,00000,JHARKHAND,006195, Garhwali,484,280,204,205,109,96,279,171,108
C0116,20,000,00000,JHARKHAND,006198, Gawari,106,56,50,17,9,8,89,47,42
C0116,20,000,00000,JHARKHAND,006207, Gojri/Gujjari/Gujar,11,10,1,4,4,0,7,6,1
C0116,20,000,00000,JHARKHAND,006231, Handuri,5,3,2,0,0,0,5,3,2
C0116,20,000,00000,JHARKHAND,006232, Hara/Harauti,2,2,0,2,2,0,0,0,0
C0116,20,000,00000,JHARKHAND,006235, Haryanvi,1963,1129,834,368,237,131,1595,892,703
