Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,29,000,00000,KARNATAKA,001000,1 ASSAMESE,9871,7083,2788,2984,2299,685,6887,4784,2103
C0116,29,000,00000,KARNATAKA,001002, Assamese,9724,7018,2706,2971,2293,678,6753,4725,2028
C0116,29,000,00000,KARNATAKA,001999,1 Others,147,65,82,13,6,7,134,59,75
C0116,29,000,00000,KARNATAKA,002000,2 BENGALI ,87963,52733,35230,21595,12970,8625,66368,39763,26605
C0116,29,000,00000,KARNATAKA,002007, Bengali,87889,52678,35211,21592,12967,8625,66297,39711,26586
C0116,29,000,00000,KARNATAKA,002011, Chakma,52,42,10,1,1,0,51,41,10
C0116,29,000,00000,KARNATAKA,002015, Haijong/Hajong,1,1,0,1,1,0,0,0,0
C0116,29,000,00000,KARNATAKA,002999,2 Others,21,12,9,1,1,0,20,11,9
C0116,29,000,00000,KARNATAKA,003000,3 BODO ,439,311,128,183,132,51,256,179,77
C0116,29,000,00000,KARNATAKA,003001, Bodo/Boro,430,304,126,182,131,51,248,173,75
C0116,29,000,00000,KARNATAKA,003003, Kachari,9,7,2,1,1,0,8,6,2
C0116,29,000,00000,KARNATAKA,004000,4 DOGRI ,834,565,269,116,83,33,718,482,236
C0116,29,000,00000,KARNATAKA,004001, Dogri,834,565,269,116,83,33,718,482,236
C0116,29,000,00000,KARNATAKA,005000,5 GUJARATI,114616,58706,55910,11083,5655,5428,103533,53051,50482
C0116,29,000,00000,KARNATAKA,005018, Gujarati,66265,34044,32221,8979,4578,4401,57286,29466,27820
C0116,29,000,00000,KARNATAKA,005052, Pattani,42,21,21,0,0,0,42,21,21
C0116,29,000,00000,KARNATAKA,005054, Ponchi,6,6,0,0,0,0,6,6,0
C0116,29,000,00000,KARNATAKA,005057, Saurashtra/Saurashtri,4399,2273,2126,56,26,30,4343,2247,2096
C0116,29,000,00000,KARNATAKA,005999,5 Others,43904,22362,21542,2048,1051,997,41856,21311,20545
C0116,29,000,00000,KARNATAKA,006000,6 HINDI ,2013364,1090678,922686,1088225,568591,519634,925139,522087,403052
C0116,29,000,00000,KARNATAKA,006030, Awadhi,53,36,17,7,7,0,46,29,17
C0116,29,000,00000,KARNATAKA,006040, Baghati/Baghati Pahari,8,3,5,3,2,1,5,1,4
C0116,29,000,00000,KARNATAKA,006042, Bagheli/Baghel Khandi,26,14,12,3,2,1,23,12,11
C0116,29,000,00000,KARNATAKA,006066, Banjari,25373,12997,12376,21309,10928,10381,4064,2069,1995
C0116,29,000,00000,KARNATAKA,006086, Bhadrawahi,8,6,2,5,3,2,3,3,0
C0116,29,000,00000,KARNATAKA,006096, Bharmauri/Gaddi,79,44,35,7,3,4,72,41,31
C0116,29,000,00000,KARNATAKA,006102, Bhojpuri,7675,5360,2315,1285,940,345,6390,4420,1970
C0116,29,000,00000,KARNATAKA,006123, Brajbhasha,5,3,2,0,0,0,5,3,2
C0116,29,000,00000,KARNATAKA,006125, Bundeli/Bundel khandi,31,25,6,9,9,0,22,16,6
C0116,29,000,00000,KARNATAKA,006142, Chhattisgarhi,139,101,38,51,44,7,88,57,31
C0116,29,000,00000,KARNATAKA,006149, Churahi,1,0,1,0,0,0,1,0,1
C0116,29,000,00000,KARNATAKA,006173, Dhundhari,87,44,43,54,28,26,33,16,17
C0116,29,000,00000,KARNATAKA,006195, Garhwali,381,264,117,77,69,8,304,195,109
C0116,29,000,00000,KARNATAKA,006207, Gojri/Gujjari/Gujar,77,48,29,6,4,2,71,44,27
C0116,29,000,00000,KARNATAKA,006232, Hara/Harauti,1,1,0,1,1,0,0,0,0
