Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,32,000,00000,KERALA,001000,1 ASSAMESE,5796,5377,419,3053,2854,199,2743,2523,220
C0116,32,000,00000,KERALA,001002, Assamese,5752,5338,414,3045,2848,197,2707,2490,217
C0116,32,000,00000,KERALA,001999,1 Others,44,39,5,8,6,2,36,33,3
C0116,32,000,00000,KERALA,002000,2 BENGALI ,29061,26287,2774,12285,11484,801,16776,14803,1973
C0116,32,000,00000,KERALA,002007, Bengali,29059,26285,2774,12283,11482,801,16776,14803,1973
C0116,32,000,00000,KERALA,002044, Rajbangsi,2,2,0,2,2,0,0,0,0
C0116,32,000,00000,KERALA,003000,3 BODO ,47,38,9,33,26,7,14,12,2
C0116,32,000,00000,KERALA,003001, Bodo/Boro,44,36,8,32,25,7,12,11,1
C0116,32,000,00000,KERALA,003003, Kachari,2,1,1,0,0,0,2,1,1
C0116,32,000,00000,KERALA,003004, Mech/Mechhia,1,1,0,1,1,0,0,0,0
C0116,32,000,00000,KERALA,004000,4 DOGRI ,225,179,46,28,24,4,197,155,42
C0116,32,000,00000,KERALA,004001, Dogri,225,179,46,28,24,4,197,155,42
C0116,32,000,00000,KERALA,005000,5 GUJARATI,4710,2424,2286,352,222,130,4358,2202,2156
C0116,32,000,00000,KERALA,005018, Gujarati,4460,2300,2160,280,183,97,4180,2117,2063
C0116,32,000,00000,KERALA,005052, Pattani,18,7,11,0,0,0,18,7,11
C0116,32,000,00000,KERALA,005057, Saurashtra/Saurashtri,144,72,72,16,11,5,128,61,67
C0116,32,000,00000,KERALA,005999,5 Others,88,45,43,56,28,28,32,17,15
C0116,32,000,00000,KERALA,006000,6 HINDI ,51928,37065,14863,12428,9491,2937,39500,27574,11926
C0116,32,000,00000,KERALA,006030, Awadhi,30,20,10,1,1,0,29,19,10
C0116,32,000,00000,KERALA,006040, Baghati/Baghati Pahari,5,2,3,3,1,2,2,1,1
C0116,32,000,00000,KERALA,006042, Bagheli/Baghel Khandi,68,63,5,0,0,0,68,63,5
C0116,32,000,00000,KERALA,006102, Bhojpuri,1688,1347,341,306,297,9,1382,1050,332
C0116,32,000,00000,KERALA,006123, Brajbhasha,22,20,2,2,2,0,20,18,2
C0116,32,000,00000,KERALA,006125, Bundeli/Bundel khandi,12,10,2,7,7,0,5,3,2
C0116,32,000,00000,KERALA,006142, Chhattisgarhi,16,15,1,13,12,1,3,3,0
C0116,32,000,00000,KERALA,006173, Dhundhari,23,19,4,5,5,0,18,14,4
C0116,32,000,00000,KERALA,006195, Garhwali,66,41,25,3,1,2,63,40,23
C0116,32,000,00000,KERALA,006207, Gojri/Gujjari/Gujar,29,27,2,22,22,0,7,5,2
C0116,32,000,00000,KERALA,006232, Hara/Harauti,7,5,2,7,5,2,0,0,0
C0116,32,000,00000,KERALA,006235, Haryanvi,390,258,132,28,28,0,362,230,132
C0116,32,000,00000,KERALA,006240, Hindi,45817,32522,13295,11257,8493,2764,34560,24029,10531
C0116,32,000,00000,KERALA,006265, Jaunpuri/Jaunsari,3,3,0,1,1,0,2,2,0
C0116,32,000,00000,KERALA,006291, Kangri,1,1,0,0,0,0,1,1,0
C0116,32,000,00000,KERALA,006320, Khortha/Khotta,18,17,1,2,1,1,16,16,0
C0116,32,000,00000,KERALA,006340, Kumauni,31,23,8,0,0,0,31,23,8
C0116,32,000,00000,KERALA,006345, Kurmali Thar,1,1,0,1,1,0,0,0,0
C0116,32,000,00000,KERALA,006353, Lamani/Lambadi,54,32,22,0,0,0,54,32,22
C0116,32,000,00000,KERALA,006376, Magadhi/Magahi,61,41,20,3,3,0,58,38,20
