Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,31,000,00000,LAKSHADWEEP,001000,1 ASSAMESE,1,1,0,0,0,0,1,1,0
C0116,31,000,00000,LAKSHADWEEP,001002, Assamese,1,1,0,0,0,0,1,1,0
C0116,31,000,00000,LAKSHADWEEP,002000,2 BENGALI ,140,133,7,9,9,0,131,124,7
C0116,31,000,00000,LAKSHADWEEP,002007, Bengali,140,133,7,9,9,0,131,124,7
C0116,31,000,00000,LAKSHADWEEP,003000,3 BODO ,5,2,3,0,0,0,5,2,3
C0116,31,000,00000,LAKSHADWEEP,003001, Bodo/Boro,5,2,3,0,0,0,5,2,3
C0116,31,000,00000,LAKSHADWEEP,005000,5 GUJARATI,24,23,1,3,3,0,21,20,1
C0116,31,000,00000,LAKSHADWEEP,005018, Gujarati,23,22,1,2,2,0,21,20,1
C0116,31,000,00000,LAKSHADWEEP,005057, Saurashtra/Saurashtri,1,1,0,1,1,0,0,0,0
C0116,31,000,00000,LAKSHADWEEP,006000,6 HINDI ,160,134,26,17,16,1,143,118,25
C0116,31,000,00000,LAKSHADWEEP,006102, Bhojpuri,10,6,4,0,0,0,10,6,4
C0116,31,000,00000,LAKSHADWEEP,006173, Dhundhari,1,1,0,0,0,0,1,1,0
C0116,31,000,00000,LAKSHADWEEP,006195, Garhwali,1,1,0,0,0,0,1,1,0
C0116,31,000,00000,LAKSHADWEEP,006235, Haryanvi,7,6,1,0,0,0,7,6,1
C0116,31,000,00000,LAKSHADWEEP,006240, Hindi,133,112,21,17,16,1,116,96,20
C0116,31,000,00000,LAKSHADWEEP,006489, Rajasthani,4,4,0,0,0,0,4,4,0
C0116,31,000,00000,LAKSHADWEEP,006541, Sugali,3,3,0,0,0,0,3,3,0
C0116,31,000,00000,LAKSHADWEEP,006999,6 Others,1,1,0,0,0,0,1,1,0
C0116,31,000,00000,LAKSHADWEEP,007000,7 KANNADA,37,22,15,21,10,11,16,12,4
C0116,31,000,00000,LAKSHADWEEP,007016, Kannada,37,22,15,21,10,11,16,12,4
C0116,31,000,00000,LAKSHADWEEP,009000,9 KONKANI,1,0,1,0,0,0,1,0,1
C0116,31,000,00000,LAKSHADWEEP,009011, Konkani,1,0,1,0,0,0,1,0,1
C0116,31,000,00000,LAKSHADWEEP,011000,11 MALAYALAM,54264,27697,26567,13870,7044,6826,40394,20653,19741
C0116,31,000,00000,LAKSHADWEEP,011016, Malayalam,54264,27697,26567,13870,7044,6826,40394,20653,19741
C0116,31,000,00000,LAKSHADWEEP,013000,13 MARATHI ,26,19,7,5,3,2,21,16,5
C0116,31,000,00000,LAKSHADWEEP,013071, Marathi,26,19,7,5,3,2,21,16,5
C0116,31,000,00000,LAKSHADWEEP,014000,14 NEPALI ,4,1,3,0,0,0,4,1,3
C0116,31,000,00000,LAKSHADWEEP,014011, Nepali,4,1,3,0,0,0,4,1,3
C0116,31,000,00000,LAKSHADWEEP,015000,15 ODIA ,40,34,6,13,8,5,27,26,1
C0116,31,000,00000,LAKSHADWEEP,015043, Odia,39,33,6,13,8,5,26,25,1
C0116,31,000,00000,LAKSHADWEEP,015999,15 Others,1,1,0,0,0,0,1,1,0
C0116,31,000,00000,LAKSHADWEEP,016000,16 PUNJABI ,4,3,1,0,0,0,4,3,1
C0116,31,000,00000,LAKSHADWEEP,016038, Punjabi,4,3,1,0,0,0,4,3,1
C0116,31,000,00000,LAKSHADWEEP,019000,19 SINDHI,7,7,0,0,0,0,7,7,0
C0116,31,000,00000,LAKSHADWEEP,019008, Kachchhi,7,7,0,0,0,0,7,7,0
C0116,31,000,00000,LAKSHADWEEP,020000,20 TAMIL ,364,330,34,145,125,20,219,205,14
