Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,23,000,00000,MADHYA PRADESH,001000,1 ASSAMESE,1870,1302,568,116,84,32,1754,1218,536
C0116,23,000,00000,MADHYA PRADESH,001002, Assamese,1816,1261,555,115,83,32,1701,1178,523
C0116,23,000,00000,MADHYA PRADESH,001999,1 Others,54,41,13,1,1,0,53,40,13
C0116,23,000,00000,MADHYA PRADESH,002000,2 BENGALI ,109185,58238,50947,44874,23768,21106,64311,34470,29841
C0116,23,000,00000,MADHYA PRADESH,002007, Bengali,108215,57769,50446,43933,23316,20617,64282,34453,29829
C0116,23,000,00000,MADHYA PRADESH,002011, Chakma,6,5,1,1,1,0,5,4,1
C0116,23,000,00000,MADHYA PRADESH,002999,2 Others,964,464,500,940,451,489,24,13,11
C0116,23,000,00000,MADHYA PRADESH,003000,3 BODO ,87,56,31,16,7,9,71,49,22
C0116,23,000,00000,MADHYA PRADESH,003001, Bodo/Boro,70,48,22,1,0,1,69,48,21
C0116,23,000,00000,MADHYA PRADESH,003003, Kachari,2,1,1,0,0,0,2,1,1
C0116,23,000,00000,MADHYA PRADESH,003999,3 Others,15,7,8,15,7,8,0,0,0
C0116,23,000,00000,MADHYA PRADESH,004000,4 DOGRI ,835,637,198,63,57,6,772,580,192
C0116,23,000,00000,MADHYA PRADESH,004001, Dogri,835,637,198,63,57,6,772,580,192
C0116,23,000,00000,MADHYA PRADESH,005000,5 GUJARATI,187211,94152,93059,77751,38952,38799,109460,55200,54260
C0116,23,000,00000,MADHYA PRADESH,005018, Gujarati,163891,82553,81338,57339,28822,28517,106552,53731,52821
C0116,23,000,00000,MADHYA PRADESH,005019, Gujrao/Gujrau,3,1,2,1,1,0,2,0,2
C0116,23,000,00000,MADHYA PRADESH,005052, Pattani,5328,2679,2649,5259,2640,2619,69,39,30
C0116,23,000,00000,MADHYA PRADESH,005057, Saurashtra/Saurashtri,9,5,4,0,0,0,9,5,4
C0116,23,000,00000,MADHYA PRADESH,005999,5 Others,17980,8914,9066,15152,7489,7663,2828,1425,1403
C0116,23,000,00000,MADHYA PRADESH,006000,6 HINDI ,64324963,33425588,30899375,46244040,23986371,22257669,18080923,9439217,8641706
C0116,23,000,00000,MADHYA PRADESH,006030, Awadhi,2259,1094,1165,1034,417,617,1225,677,548
C0116,23,000,00000,MADHYA PRADESH,006040, Baghati/Baghati Pahari,29,15,14,17,10,7,12,5,7
C0116,23,000,00000,MADHYA PRADESH,006042, Bagheli/Baghel Khandi,2634542,1357027,1277515,2318888,1192588,1126300,315654,164439,151215
C0116,23,000,00000,MADHYA PRADESH,006066, Banjari,157570,80626,76944,151648,77611,74037,5922,3015,2907
C0116,23,000,00000,MADHYA PRADESH,006086, Bhadrawahi,39,19,20,24,11,13,15,8,7
C0116,23,000,00000,MADHYA PRADESH,006089, Bhagoria,12,5,7,0,0,0,12,5,7
C0116,23,000,00000,MADHYA PRADESH,006096, Bharmauri/Gaddi,1013,493,520,940,457,483,73,36,37
C0116,23,000,00000,MADHYA PRADESH,006102, Bhojpuri,39188,22825,16363,8182,5441,2741,31006,17384,13622
C0116,23,000,00000,MADHYA PRADESH,006123, Brajbhasha,9750,5122,4628,4180,2205,1975,5570,2917,2653
C0116,23,000,00000,MADHYA PRADESH,006125, Bundeli/Bundel khandi,4300436,2267449,2032987,3503519,1848668,1654851,796917,418781,378136
C0116,23,000,00000,MADHYA PRADESH,006133, Chambeali/Chamrali,35,19,16,23,8,15,12,11,1
C0116,23,000,00000,MADHYA PRADESH,006142, Chhattisgarhi,107108,52995,54113,93374,46050,47324,13734,6945,6789
