Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,27,000,00000,MAHARASHTRA,001000,1 ASSAMESE,12842,8940,3902,2520,1896,624,10322,7044,3278
C0116,27,000,00000,MAHARASHTRA,001002, Assamese,12715,8858,3857,2510,1891,619,10205,6967,3238
C0116,27,000,00000,MAHARASHTRA,001999,1 Others,127,82,45,10,5,5,117,77,40
C0116,27,000,00000,MAHARASHTRA,002000,2 BENGALI ,442090,260983,181107,87120,47954,39166,354970,213029,141941
C0116,27,000,00000,MAHARASHTRA,002007, Bengali,441449,260643,180806,86655,47715,38940,354794,212928,141866
C0116,27,000,00000,MAHARASHTRA,002011, Chakma,46,34,12,0,0,0,46,34,12
C0116,27,000,00000,MAHARASHTRA,002015, Haijong/Hajong,5,3,2,0,0,0,5,3,2
C0116,27,000,00000,MAHARASHTRA,002999,2 Others,590,303,287,465,239,226,125,64,61
C0116,27,000,00000,MAHARASHTRA,003000,3 BODO ,330,234,96,64,51,13,266,183,83
C0116,27,000,00000,MAHARASHTRA,003001, Bodo/Boro,266,200,66,62,49,13,204,151,53
C0116,27,000,00000,MAHARASHTRA,003003, Kachari,59,30,29,2,2,0,57,28,29
C0116,27,000,00000,MAHARASHTRA,003004, Mech/Mechhia,5,4,1,0,0,0,5,4,1
C0116,27,000,00000,MAHARASHTRA,004000,4 DOGRI ,1936,1182,754,813,436,377,1123,746,377
C0116,27,000,00000,MAHARASHTRA,004001, Dogri,1936,1182,754,813,436,377,1123,746,377
C0116,27,000,00000,MAHARASHTRA,005000,5 GUJARATI,2371743,1198746,1172997,132149,67522,64627,2239594,1131224,1108370
C0116,27,000,00000,MAHARASHTRA,005018, Gujarati,2320191,1172520,1147671,109689,55978,53711,2210502,1116542,1093960
C0116,27,000,00000,MAHARASHTRA,005019, Gujrao/Gujrau,13023,6682,6341,12241,6296,5945,782,386,396
C0116,27,000,00000,MAHARASHTRA,005052, Pattani,952,488,464,795,400,395,157,88,69
C0116,27,000,00000,MAHARASHTRA,005057, Saurashtra/Saurashtri,1292,660,632,16,6,10,1276,654,622
C0116,27,000,00000,MAHARASHTRA,005999,5 Others,36285,18396,17889,9408,4842,4566,26877,13554,13323
C0116,27,000,00000,MAHARASHTRA,006000,6 HINDI ,14481513,8011083,6470430,4064495,2143068,1921427,10417018,5868015,4549003
C0116,27,000,00000,MAHARASHTRA,006030, Awadhi,3579,2264,1315,186,113,73,3393,2151,1242
C0116,27,000,00000,MAHARASHTRA,006040, Baghati/Baghati Pahari,203,107,96,7,4,3,196,103,93
C0116,27,000,00000,MAHARASHTRA,006042, Bagheli/Baghel Khandi,512,385,127,156,140,16,356,245,111
C0116,27,000,00000,MAHARASHTRA,006066, Banjari,1284345,671668,612677,1179278,616369,562909,105067,55299,49768
C0116,27,000,00000,MAHARASHTRA,006086, Bhadrawahi,17,7,10,1,0,1,16,7,9
C0116,27,000,00000,MAHARASHTRA,006089, Bhagoria,3,1,2,0,0,0,3,1,2
C0116,27,000,00000,MAHARASHTRA,006096, Bharmauri/Gaddi,519,289,230,102,48,54,417,241,176
C0116,27,000,00000,MAHARASHTRA,006102, Bhojpuri,511781,324258,187523,31460,20547,10913,480321,303711,176610
C0116,27,000,00000,MAHARASHTRA,006119, Bishnoi,2,2,0,0,0,0,2,2,0
C0116,27,000,00000,MAHARASHTRA,006123, Brajbhasha,662,379,283,80,49,31,582,330,252
C0116,27,000,00000,MAHARASHTRA,006125, Bundeli/Bundel khandi,1849,1026,823,371,225,146,1478,801,677
C0116,27,000,00000,MAHARASHTRA,006133, Chambeali/Chamrali,1083,548,535,503,259,244,580,289,291
