Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,14,000,00000,MANIPUR,001000,1 ASSAMESE,2453,1997,456,1627,1397,230,826,600,226
C0116,14,000,00000,MANIPUR,001002, Assamese,1882,1543,339,1197,1047,150,685,496,189
C0116,14,000,00000,MANIPUR,001999,1 Others,571,454,117,430,350,80,141,104,37
C0116,14,000,00000,MANIPUR,002000,2 BENGALI ,30611,16352,14259,25140,13309,11831,5471,3043,2428
C0116,14,000,00000,MANIPUR,002007, Bengali,30561,16313,14248,25106,13281,11825,5455,3032,2423
C0116,14,000,00000,MANIPUR,002011, Chakma,31,22,9,18,14,4,13,8,5
C0116,14,000,00000,MANIPUR,002015, Haijong/Hajong,7,7,0,4,4,0,3,3,0
C0116,14,000,00000,MANIPUR,002044, Rajbangsi,11,9,2,11,9,2,0,0,0
C0116,14,000,00000,MANIPUR,002999,2 Others,1,1,0,1,1,0,0,0,0
C0116,14,000,00000,MANIPUR,003000,3 BODO ,174,141,33,111,92,19,63,49,14
C0116,14,000,00000,MANIPUR,003001, Bodo/Boro,148,122,26,96,79,17,52,43,9
C0116,14,000,00000,MANIPUR,003003, Kachari,26,19,7,15,13,2,11,6,5
C0116,14,000,00000,MANIPUR,004000,4 DOGRI ,1853,1732,121,1675,1580,95,178,152,26
C0116,14,000,00000,MANIPUR,004001, Dogri,1853,1732,121,1675,1580,95,178,152,26
C0116,14,000,00000,MANIPUR,005000,5 GUJARATI,164,129,35,100,82,18,64,47,17
C0116,14,000,00000,MANIPUR,005018, Gujarati,156,125,31,93,79,14,63,46,17
C0116,14,000,00000,MANIPUR,005999,5 Others,8,4,4,7,3,4,1,1,0
C0116,14,000,00000,MANIPUR,006000,6 HINDI ,31703,23092,8611,15201,12567,2634,16502,10525,5977
C0116,14,000,00000,MANIPUR,006030, Awadhi,18,13,5,9,6,3,9,7,2
C0116,14,000,00000,MANIPUR,006042, Bagheli/Baghel Khandi,1,1,0,1,1,0,0,0,0
C0116,14,000,00000,MANIPUR,006066, Banjari,2,1,1,2,1,1,0,0,0
C0116,14,000,00000,MANIPUR,006086, Bhadrawahi,8,5,3,2,2,0,6,3,3
C0116,14,000,00000,MANIPUR,006102, Bhojpuri,5311,3474,1837,1575,1278,297,3736,2196,1540
C0116,14,000,00000,MANIPUR,006123, Brajbhasha,18,16,2,14,14,0,4,2,2
C0116,14,000,00000,MANIPUR,006125, Bundeli/Bundel khandi,3,3,0,3,3,0,0,0,0
C0116,14,000,00000,MANIPUR,006142, Chhattisgarhi,14,13,1,12,11,1,2,2,0
C0116,14,000,00000,MANIPUR,006173, Dhundhari,2,1,1,2,1,1,0,0,0
C0116,14,000,00000,MANIPUR,006195, Garhwali,723,641,82,541,488,53,182,153,29
C0116,14,000,00000,MANIPUR,006207, Gojri/Gujjari/Gujar,3,2,1,0,0,0,3,2,1
C0116,14,000,00000,MANIPUR,006231, Handuri,3,2,1,1,1,0,2,1,1
C0116,14,000,00000,MANIPUR,006232, Hara/Harauti,1,1,0,0,0,0,1,1,0
C0116,14,000,00000,MANIPUR,006235, Haryanvi,253,227,26,212,194,18,41,33,8
C0116,14,000,00000,MANIPUR,006240, Hindi,21096,15691,5405,10981,9033,1948,10115,6658,3457
C0116,14,000,00000,MANIPUR,006291, Kangri,1,1,0,1,1,0,0,0,0
C0116,14,000,00000,MANIPUR,006311, Khari Boli,1,0,1,1,0,1,0,0,0
C0116,14,000,00000,MANIPUR,006320, Khortha/Khotta,1,0,1,1,0,1,0,0,0
C0116,14,000,00000,MANIPUR,006340, Kumauni,1127,1046,81,910,866,44,217,180,37
