Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,17,000,00000,MEGHALAYA,001000,1 ASSAMESE,39628,21288,18340,28208,14740,13468,11420,6548,4872
C0116,17,000,00000,MEGHALAYA,001002, Assamese,38261,20571,17690,27156,14238,12918,11105,6333,4772
C0116,17,000,00000,MEGHALAYA,001999,1 Others,1367,717,650,1052,502,550,315,215,100
C0116,17,000,00000,MEGHALAYA,002000,2 BENGALI ,232525,119597,112928,171655,87793,83862,60870,31804,29066
C0116,17,000,00000,MEGHALAYA,002007, Bengali,190882,98573,92309,134196,68893,65303,56686,29680,27006
C0116,17,000,00000,MEGHALAYA,002011, Chakma,159,91,68,20,12,8,139,79,60
C0116,17,000,00000,MEGHALAYA,002015, Haijong/Hajong,41414,20884,20530,37409,18868,18541,4005,2016,1989
C0116,17,000,00000,MEGHALAYA,002044, Rajbangsi,69,48,21,30,20,10,39,28,11
C0116,17,000,00000,MEGHALAYA,002999,2 Others,1,1,0,0,0,0,1,1,0
C0116,17,000,00000,MEGHALAYA,003000,3 BODO ,4879,2615,2264,2939,1562,1377,1940,1053,887
C0116,17,000,00000,MEGHALAYA,003001, Bodo/Boro,4715,2511,2204,2840,1501,1339,1875,1010,865
C0116,17,000,00000,MEGHALAYA,003003, Kachari,161,101,60,97,59,38,64,42,22
C0116,17,000,00000,MEGHALAYA,003004, Mech/Mechhia,3,3,0,2,2,0,1,1,0
C0116,17,000,00000,MEGHALAYA,004000,4 DOGRI ,426,311,115,218,175,43,208,136,72
C0116,17,000,00000,MEGHALAYA,004001, Dogri,426,311,115,218,175,43,208,136,72
C0116,17,000,00000,MEGHALAYA,005000,5 GUJARATI,343,243,100,132,103,29,211,140,71
C0116,17,000,00000,MEGHALAYA,005018, Gujarati,268,197,71,76,69,7,192,128,64
C0116,17,000,00000,MEGHALAYA,005019, Gujrao/Gujrau,2,2,0,2,2,0,0,0,0
C0116,17,000,00000,MEGHALAYA,005999,5 Others,73,44,29,54,32,22,19,12,7
C0116,17,000,00000,MEGHALAYA,006000,6 HINDI ,62905,38730,24175,18465,11602,6863,44440,27128,17312
C0116,17,000,00000,MEGHALAYA,006030, Awadhi,17,13,4,10,8,2,7,5,2
C0116,17,000,00000,MEGHALAYA,006042, Bagheli/Baghel Khandi,1,1,0,1,1,0,0,0,0
C0116,17,000,00000,MEGHALAYA,006086, Bhadrawahi,14,8,6,6,4,2,8,4,4
C0116,17,000,00000,MEGHALAYA,006096, Bharmauri/Gaddi,8,8,0,6,6,0,2,2,0
C0116,17,000,00000,MEGHALAYA,006102, Bhojpuri,9995,6042,3953,2007,1190,817,7988,4852,3136
C0116,17,000,00000,MEGHALAYA,006123, Brajbhasha,13,12,1,1,1,0,12,11,1
C0116,17,000,00000,MEGHALAYA,006125, Bundeli/Bundel khandi,17,13,4,7,6,1,10,7,3
C0116,17,000,00000,MEGHALAYA,006142, Chhattisgarhi,7,7,0,4,4,0,3,3,0
C0116,17,000,00000,MEGHALAYA,006173, Dhundhari,14,10,4,3,2,1,11,8,3
C0116,17,000,00000,MEGHALAYA,006195, Garhwali,527,344,183,166,111,55,361,233,128
C0116,17,000,00000,MEGHALAYA,006207, Gojri/Gujjari/Gujar,3,3,0,0,0,0,3,3,0
C0116,17,000,00000,MEGHALAYA,006235, Haryanvi,186,132,54,91,67,24,95,65,30
C0116,17,000,00000,MEGHALAYA,006240, Hindi,35215,22196,13019,12957,8287,4670,22258,13909,8349
C0116,17,000,00000,MEGHALAYA,006265, Jaunpuri/Jaunsari,2,2,0,1,1,0,1,1,0
C0116,17,000,00000,MEGHALAYA,006291, Kangri,1,1,0,0,0,0,1,1,0
