Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,15,000,00000,MIZORAM,001000,1 ASSAMESE,1266,954,312,258,215,43,1008,739,269
C0116,15,000,00000,MIZORAM,001002, Assamese,1143,853,290,241,201,40,902,652,250
C0116,15,000,00000,MIZORAM,001999,1 Others,123,101,22,17,14,3,106,87,19
C0116,15,000,00000,MIZORAM,002000,2 BENGALI ,107840,58044,49796,96777,50278,46499,11063,7766,3297
C0116,15,000,00000,MIZORAM,002007, Bengali,14986,10158,4828,5303,3113,2190,9683,7045,2638
C0116,15,000,00000,MIZORAM,002011, Chakma,92850,47885,44965,91471,47164,44307,1379,721,658
C0116,15,000,00000,MIZORAM,002015, Haijong/Hajong,1,0,1,1,0,1,0,0,0
C0116,15,000,00000,MIZORAM,002044, Rajbangsi,3,1,2,2,1,1,1,0,1
C0116,15,000,00000,MIZORAM,003000,3 BODO ,203,132,71,25,19,6,178,113,65
C0116,15,000,00000,MIZORAM,003001, Bodo/Boro,75,61,14,9,9,0,66,52,14
C0116,15,000,00000,MIZORAM,003003, Kachari,128,71,57,16,10,6,112,61,51
C0116,15,000,00000,MIZORAM,004000,4 DOGRI ,193,180,13,41,41,0,152,139,13
C0116,15,000,00000,MIZORAM,004001, Dogri,193,180,13,41,41,0,152,139,13
C0116,15,000,00000,MIZORAM,005000,5 GUJARATI,59,58,1,17,17,0,42,41,1
C0116,15,000,00000,MIZORAM,005018, Gujarati,58,57,1,17,17,0,41,40,1
C0116,15,000,00000,MIZORAM,005999,5 Others,1,1,0,0,0,0,1,1,0
C0116,15,000,00000,MIZORAM,006000,6 HINDI ,10677,8500,2177,2069,1781,288,8608,6719,1889
C0116,15,000,00000,MIZORAM,006030, Awadhi,2,2,0,1,1,0,1,1,0
C0116,15,000,00000,MIZORAM,006042, Bagheli/Baghel Khandi,1,1,0,0,0,0,1,1,0
C0116,15,000,00000,MIZORAM,006066, Banjari,1,1,0,0,0,0,1,1,0
C0116,15,000,00000,MIZORAM,006102, Bhojpuri,279,212,67,48,36,12,231,176,55
C0116,15,000,00000,MIZORAM,006123, Brajbhasha,2,2,0,0,0,0,2,2,0
C0116,15,000,00000,MIZORAM,006125, Bundeli/Bundel khandi,1,1,0,1,1,0,0,0,0
C0116,15,000,00000,MIZORAM,006142, Chhattisgarhi,6,6,0,3,3,0,3,3,0
C0116,15,000,00000,MIZORAM,006195, Garhwali,46,43,3,11,10,1,35,33,2
C0116,15,000,00000,MIZORAM,006207, Gojri/Gujjari/Gujar,1,1,0,1,1,0,0,0,0
C0116,15,000,00000,MIZORAM,006235, Haryanvi,55,43,12,22,18,4,33,25,8
C0116,15,000,00000,MIZORAM,006240, Hindi,8929,7205,1724,1765,1539,226,7164,5666,1498
C0116,15,000,00000,MIZORAM,006265, Jaunpuri/Jaunsari,1,1,0,0,0,0,1,1,0
C0116,15,000,00000,MIZORAM,006291, Kangri,2,2,0,0,0,0,2,2,0
C0116,15,000,00000,MIZORAM,006320, Khortha/Khotta,28,26,2,20,20,0,8,6,2
C0116,15,000,00000,MIZORAM,006340, Kumauni,138,125,13,22,19,3,116,106,10
C0116,15,000,00000,MIZORAM,006353, Lamani/Lambadi,3,3,0,1,1,0,2,2,0
C0116,15,000,00000,MIZORAM,006376, Magadhi/Magahi,6,6,0,3,3,0,3,3,0
C0116,15,000,00000,MIZORAM,006400, Marwari,9,7,2,3,2,1,6,5,1
C0116,15,000,00000,MIZORAM,006420, Nagpuria,2,2,0,2,2,0,0,0,0
C0116,15,000,00000,MIZORAM,006439, Pahari,135,68,67,9,9,0,126,59,67
