Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,13,000,00000,NAGALAND,001000,1 ASSAMESE,17201,10457,6744,8861,5417,3444,8340,5040,3300
C0116,13,000,00000,NAGALAND,001002, Assamese,13103,8237,4866,6724,4270,2454,6379,3967,2412
C0116,13,000,00000,NAGALAND,001999,1 Others,4098,2220,1878,2137,1147,990,1961,1073,888
C0116,13,000,00000,NAGALAND,002000,2 BENGALI ,74753,42111,32642,23777,13109,10668,50976,29002,21974
C0116,13,000,00000,NAGALAND,002007, Bengali,74561,41991,32570,23709,13059,10650,50852,28932,21920
C0116,13,000,00000,NAGALAND,002011, Chakma,156,97,59,60,44,16,96,53,43
C0116,13,000,00000,NAGALAND,002015, Haijong/Hajong,22,12,10,3,2,1,19,10,9
C0116,13,000,00000,NAGALAND,002044, Rajbangsi,13,11,2,5,4,1,8,7,1
C0116,13,000,00000,NAGALAND,002999,2 Others,1,0,1,0,0,0,1,0,1
C0116,13,000,00000,NAGALAND,003000,3 BODO ,7372,3854,3518,4713,2451,2262,2659,1403,1256
C0116,13,000,00000,NAGALAND,003001, Bodo/Boro,2490,1341,1149,1725,901,824,765,440,325
C0116,13,000,00000,NAGALAND,003003, Kachari,4863,2502,2361,2972,1539,1433,1891,963,928
C0116,13,000,00000,NAGALAND,003004, Mech/Mechhia,19,11,8,16,11,5,3,0,3
C0116,13,000,00000,NAGALAND,004000,4 DOGRI ,1269,1077,192,662,596,66,607,481,126
C0116,13,000,00000,NAGALAND,004001, Dogri,1269,1077,192,662,596,66,607,481,126
C0116,13,000,00000,NAGALAND,005000,5 GUJARATI,277,217,60,87,77,10,190,140,50
C0116,13,000,00000,NAGALAND,005018, Gujarati,239,193,46,73,67,6,166,126,40
C0116,13,000,00000,NAGALAND,005054, Ponchi,2,0,2,0,0,0,2,0,2
C0116,13,000,00000,NAGALAND,005999,5 Others,36,24,12,14,10,4,22,14,8
C0116,13,000,00000,NAGALAND,006000,6 HINDI ,62942,41971,20971,17280,12195,5085,45662,29776,15886
C0116,13,000,00000,NAGALAND,006030, Awadhi,46,38,8,28,22,6,18,16,2
C0116,13,000,00000,NAGALAND,006042, Bagheli/Baghel Khandi,8,8,0,3,3,0,5,5,0
C0116,13,000,00000,NAGALAND,006086, Bhadrawahi,11,7,4,1,1,0,10,6,4
C0116,13,000,00000,NAGALAND,006102, Bhojpuri,14289,9349,4940,2883,1989,894,11406,7360,4046
C0116,13,000,00000,NAGALAND,006123, Brajbhasha,35,27,8,22,17,5,13,10,3
C0116,13,000,00000,NAGALAND,006125, Bundeli/Bundel khandi,27,24,3,4,4,0,23,20,3
C0116,13,000,00000,NAGALAND,006142, Chhattisgarhi,114,88,26,49,45,4,65,43,22
C0116,13,000,00000,NAGALAND,006173, Dhundhari,1,1,0,0,0,0,1,1,0
C0116,13,000,00000,NAGALAND,006195, Garhwali,965,744,221,343,260,83,622,484,138
C0116,13,000,00000,NAGALAND,006207, Gojri/Gujjari/Gujar,7,6,1,0,0,0,7,6,1
C0116,13,000,00000,NAGALAND,006235, Haryanvi,297,246,51,163,147,16,134,99,35
C0116,13,000,00000,NAGALAND,006240, Hindi,31441,21708,9733,8680,6569,2111,22761,15139,7622
C0116,13,000,00000,NAGALAND,006265, Jaunpuri/Jaunsari,3,2,1,2,1,1,1,1,0
C0116,13,000,00000,NAGALAND,006291, Kangri,4,2,2,0,0,0,4,2,2
C0116,13,000,00000,NAGALAND,006311, Khari Boli,2,1,1,0,0,0,2,1,1
C0116,13,000,00000,NAGALAND,006320, Khortha/Khotta,73,50,23,49,36,13,24,14,10
