admin2_name,admin2_code,admin1_name,admin1_code,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_primary_language,main_primary_language_share,main_secondary_language,main_secondary_language_share,Nepali,Maithili,Bhojpuri,Tharu,Tamang,Newar,Magar,Avadhi,Bantawa,Gurung,Limbu,Bajjika,Urdu,Rajbanshi,Sherpa,Hindi,Chamling,Santhali,Chepang,Danuwar,Kurux,Sunuwar,Bengali,Marwari,Majhi,Thangmi,Kulung,Dhimal,Angika,Yakkha,Thulung,Sampang,Bhujel,Darai,Khaling,Kumal,Thakali,Chantyal,Tibetan,Dumi,Jirel,Wambule,Puma,Hyolmo,Nachering,Dura,Meche,Mahasu Pahari,Lapcha,Bote,Bahing,Koi,Raji,Yamphu,Ghale,Chhulung,Lohorung,English,Mewahang,Sanskrit,Tilung,Jerung,Dungmali,Oriya,Hariyanvi,Magahi,Chhintang,Lhomi,Tajpuriya,Khas,Athpariya,Gangai,Achhami,Kham,Dotyali,Walungge,Baitadeli,Bajhangi,Lhowa,Dolpo,Dailekhi,Bajureli,Darchuleli,Other,Nepali_primary,Maithili_primary,Bhojpuri_primary,Tharu_primary,Tamang_primary,Newar_primary,Magar_primary,Avadhi_primary,Bantawa_primary,Gurung_primary,Limbu_primary,Bajjika_primary,Urdu_primary,Rajbanshi_primary,Sherpa_primary,Hindi_primary,Chamling_primary,Santhali_primary,Chepang_primary,Danuwar_primary,Kurux_primary,Sunuwar_primary,Bengali_primary,Marwari_primary,Majhi_primary,Thangmi_primary,Kulung_primary,Dhimal_primary,Angika_primary,Yakkha_primary,Thulung_primary,Sampang_primary,Bhujel_primary,Darai_primary,Khaling_primary,Kumal_primary,Thakali_primary,Chantyal_primary,Tibetan_primary,Dumi_primary,Jirel_primary,Wambule_primary,Puma_primary,Hyolmo_primary,Nachering_primary,Dura_primary,Meche_primary,Mahasu Pahari_primary,Lapcha_primary,Bote_primary,Bahing_primary,Raji_primary,Yamphu_primary,Ghale_primary,Chhulung_primary,Lohorung_primary,Mewahang_primary,Tilung_primary,Jerung_primary,Dungmali_primary,Oriya_primary,Magahi_primary,Chhintang_primary,Lhomi_primary,Tajpuriya_primary,Athpariya_primary,Gangai_primary,Achhami_primary,Kham_primary,Dotyali_primary,Walungge_primary,Baitadeli_primary,Bajhangi_primary,Lhowa_primary,Dolpo_primary,Dailekhi_primary,Bajureli_primary,Darchuleli_primary,Other_primary,Nepali_secondary,Maithili_secondary,Bhojpuri_secondary,Tharu_secondary,Tamang_secondary,Newar_secondary,Magar_secondary,Avadhi_secondary,Bantawa_secondary,Gurung_secondary,Limbu_secondary,Bajjika_secondary,Urdu_secondary,Rajbanshi_secondary,Sherpa_secondary,Hindi_secondary,Chamling_secondary,Danuwar_secondary,Angika_secondary,English_secondary,Jerung_secondary,Magahi_secondary,Chhintang_secondary,Lhomi_secondary,Other_secondary,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+lang+primary,#indicator+lang+primary+pct,#indicator+lang+secondary,#indicator+lang+secondary+pct,#indicator+lang+pct+iso639-3_npi,#indicator+lang+pct+iso639-3_mai,#indicator+lang+pct+iso639-3_bho,#indicator+lang+pct+iso639-3_thl,#indicator+lang+pct+iso639-3_taj,#indicator+lang+pct+iso639-3_new,#indicator+lang+pct+iso639-3_mgp,#indicator+lang+pct+iso639-3_awa,#indicator+lang+pct+iso639-3_bap,#indicator+lang+pct+iso639-3_gvr,#indicator+lang+pct+iso639-3_lif,#indicator+lang+pct+iso639-3_mai-baj,#indicator+lang+pct+iso639-3_urd,#indicator+lang+pct+iso639-3_rjs,#indicator+lang+pct+iso639-3_xsr,#indicator+lang+pct+iso639-3_hin,#indicator+lang+pct+iso639-3_rab,#indicator+lang+pct+iso639-3_sat,#indicator+lang+pct+iso639-3_cdm,#indicator+lang+pct+iso639-3_dhw,#indicator+lang+pct+iso639-3_kru,#indicator+lang+pct+iso639-3_suz,#indicator+lang+pct+iso639-3_ben,#indicator+lang+pct+iso639-3_rwr,#indicator+lang+pct+iso639-3_mjz,#indicator+lang+pct+iso639-3_thf,#indicator+lang+pct+iso639-3_kle,#indicator+lang+pct+iso639-3_dhi,#indicator+lang+pct+iso639-3_anp,#indicator+lang+pct+iso639-3_ybh,#indicator+lang+pct+iso639-3_tdh,#indicator+lang+pct+iso639-3_rav,#indicator+lang+pct+iso639-3_byh,#indicator+lang+pct+iso639-3_dry,#indicator+lang+pct+iso639-3_klr,#indicator+lang+pct+iso639-3_kra,#indicator+lang+pct+iso639-3_ths,#indicator+lang+pct+iso639-3_chx,#indicator+lang+pct+iso639-3_bod,#indicator+lang+pct+iso639-3_dus,#indicator+lang+pct+iso639-3_jul,#indicator+lang+pct+iso639-3_wme,#indicator+lang+pct+iso639-3_pum,#indicator+lang+pct+iso639-3_scp,#indicator+lang+pct+iso639-3_ncd,#indicator+lang+pct+iso639-3_drq,#indicator+lang+pct+iso639-3_brx,#indicator+lang+pct+iso639-3_bfz,#indicator+lang+pct+iso639-3_lep,#indicator+lang+pct+iso639-3_bmj,#indicator+lang+pct+iso639-3_bhj,#indicator+lang+pct+iso639-3_kkt,#indicator+lang+pct+iso639-3_rji,#indicator+lang+pct+iso639-3_ybi,#indicator+lang+pct+iso639-3_ghe,#indicator+lang+pct+iso639-3_cur,#indicator+lang+pct+iso639-3_lbr,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_emg,#indicator+lang+pct+iso639-3_san,#indicator+lang+pct+iso639-3_tij,#indicator+lang+pct+iso639-3_jee,#indicator+lang+pct+iso639-3_raa,#indicator+lang+pct+iso639-3_rjs,#indicator+lang+pct+iso639-3_bgc,#indicator+lang+pct+iso639-3_bgc,#indicator+lang+pct+iso639-3_ctn,#indicator+lang+pct+iso639-3_rji,#indicator+lang+pct+iso639-3_rjs,#indicator+lang+pct+iso639-3_nep,#indicator+lang+pct+iso639-3_aph,#indicator+lang+pct+iso639-3_rjs,#indicator+lang+pct+iso639-3_npi,#indicator+lang+pct+iso639-3_kif,#indicator+lang+pct+iso639-3_dty,#indicator+lang+pct+iso639-3_ola,#indicator+lang+pct+iso639-3_dty,#indicator+lang+pct+iso639-3_dty,#indicator+lang+pct+iso639-3_loy,#indicator+lang+pct+iso639-3_dre,#indicator+lang+pct+iso639-3_npi,#indicator+lang+pct+iso639-3_npi,#indicator+lang+pct+iso639-3_npi,#indicator+lang+pct+iso639-3_unknown,#indicator+primary+lang+pct+iso639-3_npi,#indicator+primary+lang+pct+iso639-3_mai,#indicator+primary+lang+pct+iso639-3_bho,#indicator+primary+lang+pct+iso639-3_thl,#indicator+primary+lang+pct+iso639-3_taj,#indicator+primary+lang+pct+iso639-3_new,#indicator+primary+lang+pct+iso639-3_mgp,#indicator+primary+lang+pct+iso639-3_awa,#indicator+primary+lang+pct+iso639-3_bap,#indicator+primary+lang+pct+iso639-3_gvr,#indicator+primary+lang+pct+iso639-3_lif,#indicator+primary+lang+pct+iso639-3_mai-baj,#indicator+primary+lang+pct+iso639-3_urd,#indicator+primary+lang+pct+iso639-3_rjs,#indicator+primary+lang+pct+iso639-3_xsr,#indicator+primary+lang+pct+iso639-3_hin,#indicator+primary+lang+pct+iso639-3_rab,#indicator+primary+lang+pct+iso639-3_sat,#indicator+primary+lang+pct+iso639-3_cdm,#indicator+primary+lang+pct+iso639-3_dhw,#indicator+primary+lang+pct+iso639-3_kru,#indicator+primary+lang+pct+iso639-3_suz,#indicator+primary+lang+pct+iso639-3_ben,#indicator+primary+lang+pct+iso639-3_rwr,#indicator+primary+lang+pct+iso639-3_mjz,#indicator+primary+lang+pct+iso639-3_thf,#indicator+primary+lang+pct+iso639-3_kle,#indicator+primary+lang+pct+iso639-3_dhi,#indicator+primary+lang+pct+iso639-3_anp,#indicator+primary+lang+pct+iso639-3_ybh,#indicator+primary+lang+pct+iso639-3_tdh,#indicator+primary+lang+pct+iso639-3_rav,#indicator+primary+lang+pct+iso639-3_byh,#indicator+primary+lang+pct+iso639-3_dry,#indicator+primary+lang+pct+iso639-3_klr,#indicator+primary+lang+pct+iso639-3_kra,#indicator+primary+lang+pct+iso639-3_ths,#indicator+primary+lang+pct+iso639-3_chx,#indicator+primary+lang+pct+iso639-3_bod,#indicator+primary+lang+pct+iso639-3_dus,#indicator+primary+lang+pct+iso639-3_jul,#indicator+primary+lang+pct+iso639-3_wme,#indicator+primary+lang+pct+iso639-3_pum,#indicator+primary+lang+pct+iso639-3_scp,#indicator+primary+lang+pct+iso639-3_ncd,#indicator+primary+lang+pct+iso639-3_drq,#indicator+primary+lang+pct+iso639-3_brx,#indicator+primary+lang+pct+iso639-3_bfz,#indicator+primary+lang+pct+iso639-3_lep,#indicator+primary+lang+pct+iso639-3_bmj,#indicator+primary+lang+pct+iso639-3_bhj,#indicator+primary+lang+pct+iso639-3_rji,#indicator+primary+lang+pct+iso639-3_ybi,#indicator+primary+lang+pct+iso639-3_ghe,#indicator+primary+lang+pct+iso639-3_cur,#indicator+primary+lang+pct+iso639-3_lbr,#indicator+primary+lang+pct+iso639-3_emg,#indicator+primary+lang+pct+iso639-3_tij,#indicator+primary+lang+pct+iso639-3_jee,#indicator+primary+lang+pct+iso639-3_raa,#indicator+primary+lang+pct+iso639-3_rjs,#indicator+primary+lang+pct+iso639-3_bgc,#indicator+primary+lang+pct+iso639-3_ctn,#indicator+primary+lang+pct+iso639-3_rji,#indicator+primary+lang+pct+iso639-3_rjs,#indicator+primary+lang+pct+iso639-3_aph,#indicator+primary+lang+pct+iso639-3_rjs,#indicator+primary+lang+pct+iso639-3_npi,#indicator+primary+lang+pct+iso639-3_kif,#indicator+primary+lang+pct+iso639-3_dty,#indicator+primary+lang+pct+iso639-3_ola,#indicator+primary+lang+pct+iso639-3_dty,#indicator+primary+lang+pct+iso639-3_dty,#indicator+primary+lang+pct+iso639-3_loy,#indicator+primary+lang+pct+iso639-3_dre,#indicator+primary+lang+pct+iso639-3_npi,#indicator+primary+lang+pct+iso639-3_npi,#indicator+primary+lang+pct+iso639-3_npi,#indicator+primary+lang+pct+iso639-3_unknown,#indicator+secondary+lang+pct+iso639-3_npi,#indicator+secondary+lang+pct+iso639-3_mai,#indicator+secondary+lang+pct+iso639-3_bho,#indicator+secondary+lang+pct+iso639-3_thl,#indicator+secondary+lang+pct+iso639-3_taj,#indicator+secondary+lang+pct+iso639-3_new,#indicator+secondary+lang+pct+iso639-3_mgp,#indicator+secondary+lang+pct+iso639-3_awa,#indicator+secondary+lang+pct+iso639-3_bap,#indicator+secondary+lang+pct+iso639-3_gvr,#indicator+secondary+lang+pct+iso639-3_lif,#indicator+secondary+lang+pct+iso639-3_mai-baj,#indicator+secondary+lang+pct+iso639-3_urd,#indicator+secondary+lang+pct+iso639-3_rjs,#indicator+secondary+lang+pct+iso639-3_xsr,#indicator+secondary+lang+pct+iso639-3_hin,#indicator+secondary+lang+pct+iso639-3_rab,#indicator+secondary+lang+pct+iso639-3_dhw,#indicator+secondary+lang+pct+iso639-3_anp,#indicator+secondary+lang+pct+iso639-3_eng,#indicator+secondary+lang+pct+iso639-3_jee,#indicator+secondary+lang+pct+iso639-3_bgc,#indicator+secondary+lang+pct+iso639-3_ctn,#indicator+secondary+lang+pct+iso639-3_rji,#indicator+secondary+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age5up,#population+m+pct+literate+age5up,#population+f+pct+literate+age5up,#meta+data+bool,#meta+confidence,#meta+text
Taplejung,524001001,Mechi,524001,Nepal,NP,9,Nepali,0.961,Limbu,0.394,Nepali,0.599,0.961,0.000,0.000,0.000,0.040,0.000,0.008,0.000,0.000,0.028,0.410,0.000,0.000,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.362,0.000,0.000,0.000,0.040,0.000,0.008,0.000,0.000,0.028,0.394,0.000,0.000,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,125407,58789,66613,0.740,0.815,0.675,Yes,Medium,
Panchthar,524001002,Mechi,524001,Nepal,NP,9,Nepali,0.959,Limbu,0.401,Nepali,0.623,0.959,0.000,0.000,0.000,0.066,0.000,0.029,0.000,0.059,0.012,0.409,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.336,0.000,0.000,0.000,0.066,0.000,0.029,0.000,0.059,0.012,0.401,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,191502,89115,102382,0.758,0.836,0.691,Yes,Medium,
Ilam,524001003,Mechi,524001,Nepal,NP,19,Nepali,0.876,Nepali,0.428,Nepali,0.448,0.876,0.000,0.000,0.000,0.065,0.019,0.047,0.000,0.102,0.021,0.161,0.000,0.000,0.000,0.012,0.000,0.011,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.005,0.003,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.428,0.000,0.000,0.000,0.061,0.019,0.043,0.000,0.086,0.021,0.148,0.000,0.000,0.000,0.012,0.000,0.011,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.005,0.003,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.448,0.000,0.000,0.000,0.004,0.000,0.004,0.000,0.016,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.015,0.025,290702,140591,150090,0.802,0.863,0.745,Yes,Medium,
Jhapa,524001004,Mechi,524001,Nepal,NP,26,Nepali,0.908,Nepali,0.563,Nepali,0.345,0.908,0.057,0.003,0.008,0.022,0.014,0.011,0.000,0.004,0.006,0.060,0.000,0.025,0.119,0.001,0.009,0.002,0.035,0.000,0.002,0.001,0.002,0.006,0.004,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.563,0.056,0.003,0.008,0.021,0.014,0.011,0.000,0.004,0.006,0.056,0.000,0.025,0.104,0.001,0.003,0.002,0.035,0.000,0.002,0.001,0.002,0.006,0.004,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.345,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.015,0.000,0.006,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.004,0.012,797833,375782,422168,0.768,0.842,0.703,Yes,Medium,
Morang,524002005,Koshi,524002,Nepal,NP,34,Nepali,0.813,Nepali,0.373,Nepali,0.440,0.813,0.262,0.008,0.066,0.021,0.015,0.022,0.001,0.016,0.006,0.041,0.000,0.033,0.044,0.000,0.034,0.006,0.020,0.000,0.001,0.006,0.002,0.004,0.007,0.002,0.000,0.002,0.011,0.021,0.001,0.000,0.001,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.023,0.007,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.373,0.240,0.008,0.058,0.019,0.015,0.019,0.001,0.009,0.006,0.037,0.000,0.032,0.038,0.000,0.006,0.004,0.020,0.000,0.001,0.006,0.002,0.004,0.007,0.002,0.000,0.002,0.011,0.019,0.001,0.000,0.001,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.020,0.007,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.440,0.022,0.000,0.008,0.002,0.000,0.003,0.000,0.007,0.000,0.004,0.000,0.001,0.006,0.000,0.028,0.002,0.000,0.002,0.002,0.000,0.000,0.000,0.003,0.009,960147,462670,497656,0.727,0.809,0.652,Yes,Medium,
Sunsari,524002006,Koshi,524002,Nepal,NP,26,Nepali,0.740,Nepali,0.293,Nepali,0.447,0.740,0.337,0.006,0.135,0.018,0.022,0.013,0.000,0.020,0.005,0.029,0.000,0.096,0.001,0.000,0.025,0.006,0.000,0.000,0.000,0.031,0.002,0.006,0.003,0.003,0.000,0.005,0.000,0.000,0.001,0.001,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.293,0.279,0.006,0.117,0.018,0.022,0.013,0.000,0.017,0.005,0.028,0.000,0.094,0.001,0.000,0.004,0.006,0.000,0.000,0.000,0.031,0.002,0.006,0.003,0.003,0.000,0.005,0.000,0.000,0.001,0.001,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.447,0.058,0.000,0.018,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.000,0.002,0.000,0.000,0.021,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.003,0.010,752525,362953,389609,0.704,0.788,0.627,Yes,Medium,
Dhankuta,524002007,Koshi,524002,Nepal,NP,12,Nepali,0.953,Nepali,0.435,Nepali,0.518,0.953,0.000,0.000,0.000,0.057,0.024,0.094,0.000,0.109,0.000,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.033,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.435,0.000,0.000,0.000,0.057,0.024,0.094,0.000,0.095,0.000,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.033,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.013,162290,75142,87147,0.762,0.839,0.697,Yes,Medium,
Terhathum,524002008,Koshi,524002,Nepal,NP,8,Nepali,0.958,Nepali,0.498,Nepali,0.460,0.958,0.000,0.000,0.000,0.054,0.016,0.020,0.000,0.000,0.015,0.352,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.498,0.000,0.000,0.000,0.054,0.016,0.020,0.000,0.000,0.015,0.352,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,103127,47757,55371,0.765,0.850,0.693,Yes,Medium,
Sankhuwasabha,524002009,Koshi,524002,Nepal,NP,16,Nepali,0.943,Nepali,0.455,Nepali,0.488,0.943,0.000,0.000,0.000,0.091,0.015,0.021,0.000,0.000,0.033,0.052,0.000,0.000,0.000,0.080,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.000,0.000,0.042,0.007,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.018,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.455,0.000,0.000,0.000,0.091,0.015,0.021,0.000,0.000,0.033,0.052,0.000,0.000,0.000,0.080,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.000,0.000,0.042,0.007,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.018,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,158562,74600,83964,0.717,0.801,0.644,Yes,Medium,
