Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,21,000,00000,ODISHA,001000,1 ASSAMESE,1123,823,300,417,335,82,706,488,218
C0116,21,000,00000,ODISHA,001002, Assamese,1119,820,299,416,334,82,703,486,217
C0116,21,000,00000,ODISHA,001999,1 Others,4,3,1,1,1,0,3,2,1
C0116,21,000,00000,ODISHA,002000,2 BENGALI ,504570,255768,248802,361648,180703,180945,142922,75065,67857
C0116,21,000,00000,ODISHA,002007, Bengali,504443,255696,248747,361534,180637,180897,142909,75059,67850
C0116,21,000,00000,ODISHA,002011, Chakma,5,5,0,4,4,0,1,1,0
C0116,21,000,00000,ODISHA,002015, Haijong/Hajong,1,1,0,1,1,0,0,0,0
C0116,21,000,00000,ODISHA,002999,2 Others,121,66,55,109,61,48,12,5,7
C0116,21,000,00000,ODISHA,003000,3 BODO ,24,21,3,10,9,1,14,12,2
C0116,21,000,00000,ODISHA,003001, Bodo/Boro,23,21,2,10,9,1,13,12,1
C0116,21,000,00000,ODISHA,003003, Kachari,1,0,1,0,0,0,1,0,1
C0116,21,000,00000,ODISHA,004000,4 DOGRI ,353,343,10,205,203,2,148,140,8
C0116,21,000,00000,ODISHA,004001, Dogri,353,343,10,205,203,2,148,140,8
C0116,21,000,00000,ODISHA,005000,5 GUJARATI,14856,7742,7114,1957,1056,901,12899,6686,6213
C0116,21,000,00000,ODISHA,005018, Gujarati,14050,7357,6693,1529,845,684,12521,6512,6009
C0116,21,000,00000,ODISHA,005052, Pattani,4,3,1,0,0,0,4,3,1
C0116,21,000,00000,ODISHA,005054, Ponchi,16,7,9,16,7,9,0,0,0
C0116,21,000,00000,ODISHA,005057, Saurashtra/Saurashtri,5,3,2,1,0,1,4,3,1
C0116,21,000,00000,ODISHA,005999,5 Others,781,372,409,411,204,207,370,168,202
C0116,21,000,00000,ODISHA,006000,6 HINDI ,1239037,640650,598387,692414,347748,344666,546623,292902,253721
C0116,21,000,00000,ODISHA,006030, Awadhi,16,16,0,12,12,0,4,4,0
C0116,21,000,00000,ODISHA,006040, Baghati/Baghati Pahari,51,28,23,51,28,23,0,0,0
C0116,21,000,00000,ODISHA,006042, Bagheli/Baghel Khandi,5,3,2,2,2,0,3,1,2
C0116,21,000,00000,ODISHA,006066, Banjari,5530,2796,2734,5483,2769,2714,47,27,20
C0116,21,000,00000,ODISHA,006086, Bhadrawahi,4,4,0,4,4,0,0,0,0
C0116,21,000,00000,ODISHA,006096, Bharmauri/Gaddi,132,72,60,111,61,50,21,11,10
C0116,21,000,00000,ODISHA,006102, Bhojpuri,21755,12262,9493,1993,1270,723,19762,10992,8770
C0116,21,000,00000,ODISHA,006123, Brajbhasha,26,19,7,12,8,4,14,11,3
C0116,21,000,00000,ODISHA,006125, Bundeli/Bundel khandi,91,54,37,50,33,17,41,21,20
C0116,21,000,00000,ODISHA,006142, Chhattisgarhi,126994,61473,65521,111701,53915,57786,15293,7558,7735
C0116,21,000,00000,ODISHA,006173, Dhundhari,15,7,8,10,3,7,5,4,1
C0116,21,000,00000,ODISHA,006195, Garhwali,887,488,399,793,416,377,94,72,22
C0116,21,000,00000,ODISHA,006198, Gawari,13,7,6,13,7,6,0,0,0
C0116,21,000,00000,ODISHA,006207, Gojri/Gujjari/Gujar,7,6,1,3,3,0,4,3,1
C0116,21,000,00000,ODISHA,006235, Haryanvi,386,307,79,155,121,34,231,186,45
C0116,21,000,00000,ODISHA,006240, Hindi,514769,279436,235333,115239,62151,53088,399530,217285,182245
C0116,21,000,00000,ODISHA,006265, Jaunpuri/Jaunsari,2,1,1,1,0,1,1,1,0
