Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,34,000,00000,PUDUCHERRY,001000,1 ASSAMESE,90,57,33,16,8,8,74,49,25
C0116,34,000,00000,PUDUCHERRY,001002, Assamese,90,57,33,16,8,8,74,49,25
C0116,34,000,00000,PUDUCHERRY,002000,2 BENGALI ,1509,795,714,77,50,27,1432,745,687
C0116,34,000,00000,PUDUCHERRY,002007, Bengali,1509,795,714,77,50,27,1432,745,687
C0116,34,000,00000,PUDUCHERRY,003000,3 BODO ,4,3,1,0,0,0,4,3,1
C0116,34,000,00000,PUDUCHERRY,003001, Bodo/Boro,4,3,1,0,0,0,4,3,1
C0116,34,000,00000,PUDUCHERRY,004000,4 DOGRI ,8,5,3,0,0,0,8,5,3
C0116,34,000,00000,PUDUCHERRY,004001, Dogri,8,5,3,0,0,0,8,5,3
C0116,34,000,00000,PUDUCHERRY,005000,5 GUJARATI,1428,701,727,20,12,8,1408,689,719
C0116,34,000,00000,PUDUCHERRY,005018, Gujarati,808,385,423,3,1,2,805,384,421
C0116,34,000,00000,PUDUCHERRY,005057, Saurashtra/Saurashtri,554,285,269,14,9,5,540,276,264
C0116,34,000,00000,PUDUCHERRY,005999,5 Others,66,31,35,3,2,1,63,29,34
C0116,34,000,00000,PUDUCHERRY,006000,6 HINDI ,6403,3437,2966,908,485,423,5495,2952,2543
C0116,34,000,00000,PUDUCHERRY,006030, Awadhi,1,1,0,1,1,0,0,0,0
C0116,34,000,00000,PUDUCHERRY,006040, Baghati/Baghati Pahari,1,1,0,0,0,0,1,1,0
C0116,34,000,00000,PUDUCHERRY,006042, Bagheli/Baghel Khandi,5,4,1,5,4,1,0,0,0
C0116,34,000,00000,PUDUCHERRY,006066, Banjari,8,4,4,0,0,0,8,4,4
C0116,34,000,00000,PUDUCHERRY,006102, Bhojpuri,24,16,8,3,2,1,21,14,7
C0116,34,000,00000,PUDUCHERRY,006207, Gojri/Gujjari/Gujar,1,1,0,0,0,0,1,1,0
C0116,34,000,00000,PUDUCHERRY,006235, Haryanvi,5,2,3,0,0,0,5,2,3
C0116,34,000,00000,PUDUCHERRY,006240, Hindi,5848,3136,2712,835,445,390,5013,2691,2322
C0116,34,000,00000,PUDUCHERRY,006353, Lamani/Lambadi,3,2,1,0,0,0,3,2,1
C0116,34,000,00000,PUDUCHERRY,006400, Marwari,187,95,92,4,2,2,183,93,90
C0116,34,000,00000,PUDUCHERRY,006489, Rajasthani,254,135,119,16,7,9,238,128,110
C0116,34,000,00000,PUDUCHERRY,006503, Sadan/Sadri,6,1,5,4,0,4,2,1,1
C0116,34,000,00000,PUDUCHERRY,006999,6 Others,60,39,21,40,24,16,20,15,5
C0116,34,000,00000,PUDUCHERRY,007000,7 KANNADA,1870,911,959,160,82,78,1710,829,881
C0116,34,000,00000,PUDUCHERRY,007002, Badaga,18,6,12,0,0,0,18,6,12
C0116,34,000,00000,PUDUCHERRY,007016, Kannada,1768,861,907,159,82,77,1609,779,830
C0116,34,000,00000,PUDUCHERRY,007041, Prakritha/Prakritha Bhasha,74,40,34,0,0,0,74,40,34
C0116,34,000,00000,PUDUCHERRY,007999,7 Others,10,4,6,1,0,1,9,4,5
C0116,34,000,00000,PUDUCHERRY,008000,8 KASHMIRI ,30,18,12,0,0,0,30,18,12
C0116,34,000,00000,PUDUCHERRY,008005, Kashmiri,30,18,12,0,0,0,30,18,12
C0116,34,000,00000,PUDUCHERRY,009000,9 KONKANI,101,48,53,4,2,2,97,46,51
C0116,34,000,00000,PUDUCHERRY,009011, Konkani,101,48,53,4,2,2,97,46,51
