Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,03,000,00000,PUNJAB,001000,1 ASSAMESE,4090,2885,1205,596,388,208,3494,2497,997
C0116,03,000,00000,PUNJAB,001002, Assamese,3945,2755,1190,589,381,208,3356,2374,982
C0116,03,000,00000,PUNJAB,001999,1 Others,145,130,15,7,7,0,138,123,15
C0116,03,000,00000,PUNJAB,002000,2 BENGALI ,27030,16543,10487,5510,3585,1925,21520,12958,8562
C0116,03,000,00000,PUNJAB,002007, Bengali,26994,16519,10475,5489,3573,1916,21505,12946,8559
C0116,03,000,00000,PUNJAB,002011, Chakma,3,1,2,0,0,0,3,1,2
C0116,03,000,00000,PUNJAB,002015, Haijong/Hajong,5,5,0,1,1,0,4,4,0
C0116,03,000,00000,PUNJAB,002044, Rajbangsi,7,6,1,0,0,0,7,6,1
C0116,03,000,00000,PUNJAB,002999,2 Others,21,12,9,20,11,9,1,1,0
C0116,03,000,00000,PUNJAB,003000,3 BODO ,243,190,53,30,27,3,213,163,50
C0116,03,000,00000,PUNJAB,003001, Bodo/Boro,227,174,53,30,27,3,197,147,50
C0116,03,000,00000,PUNJAB,003003, Kachari,16,16,0,0,0,0,16,16,0
C0116,03,000,00000,PUNJAB,004000,4 DOGRI ,18155,9113,9042,6668,1855,4813,11487,7258,4229
C0116,03,000,00000,PUNJAB,004001, Dogri,18155,9113,9042,6668,1855,4813,11487,7258,4229
C0116,03,000,00000,PUNJAB,005000,5 GUJARATI,13531,7456,6075,2954,1545,1409,10577,5911,4666
C0116,03,000,00000,PUNJAB,005018, Gujarati,10911,6108,4803,674,387,287,10237,5721,4516
C0116,03,000,00000,PUNJAB,005052, Pattani,1,1,0,1,1,0,0,0,0
C0116,03,000,00000,PUNJAB,005054, Ponchi,2,0,2,2,0,2,0,0,0
C0116,03,000,00000,PUNJAB,005057, Saurashtra/Saurashtri,3,2,1,0,0,0,3,2,1
C0116,03,000,00000,PUNJAB,005999,5 Others,2614,1345,1269,2277,1157,1120,337,188,149
C0116,03,000,00000,PUNJAB,006000,6 HINDI ,2594831,1446194,1148637,759095,409852,349243,1835736,1036342,799394
C0116,03,000,00000,PUNJAB,006030, Awadhi,1132,655,477,329,181,148,803,474,329
C0116,03,000,00000,PUNJAB,006040, Baghati/Baghati Pahari,42,22,20,0,0,0,42,22,20
C0116,03,000,00000,PUNJAB,006042, Bagheli/Baghel Khandi,53,23,30,3,1,2,50,22,28
C0116,03,000,00000,PUNJAB,006045, Bagri Rajasthani,233555,123152,110403,206244,108794,97450,27311,14358,12953
C0116,03,000,00000,PUNJAB,006066, Banjari,2,2,0,0,0,0,2,2,0
C0116,03,000,00000,PUNJAB,006086, Bhadrawahi,132,85,47,48,32,16,84,53,31
C0116,03,000,00000,PUNJAB,006096, Bharmauri/Gaddi,61,38,23,10,5,5,51,33,18
C0116,03,000,00000,PUNJAB,006102, Bhojpuri,60271,38036,22235,12278,8171,4107,47993,29865,18128
C0116,03,000,00000,PUNJAB,006123, Brajbhasha,375,238,137,137,103,34,238,135,103
C0116,03,000,00000,PUNJAB,006125, Bundeli/Bundel khandi,376,222,154,58,30,28,318,192,126
C0116,03,000,00000,PUNJAB,006133, Chambeali/Chamrali,19,10,9,8,6,2,11,4,7
C0116,03,000,00000,PUNJAB,006142, Chhattisgarhi,1975,1068,907,1413,745,668,562,323,239
C0116,03,000,00000,PUNJAB,006149, Churahi,2,1,1,1,1,0,1,0,1
C0116,03,000,00000,PUNJAB,006173, Dhundhari,1,1,0,0,0,0,1,1,0
C0116,03,000,00000,PUNJAB,006195, Garhwali,7338,4288,3050,487,289,198,6851,3999,2852
