Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,08,000,00000,RAJASTHAN,001000,1 ASSAMESE,2877,1939,938,972,650,322,1905,1289,616
C0116,08,000,00000,RAJASTHAN,001002, Assamese,2789,1876,913,966,644,322,1823,1232,591
C0116,08,000,00000,RAJASTHAN,001999,1 Others,88,63,25,6,6,0,82,57,25
C0116,08,000,00000,RAJASTHAN,002000,2 BENGALI ,81658,45048,36610,31423,17015,14408,50235,28033,22202
C0116,08,000,00000,RAJASTHAN,002007, Bengali,81564,45007,36557,31359,16992,14367,50205,28015,22190
C0116,08,000,00000,RAJASTHAN,002011, Chakma,55,28,27,45,22,23,10,6,4
C0116,08,000,00000,RAJASTHAN,002015, Haijong/Hajong,1,1,0,0,0,0,1,1,0
C0116,08,000,00000,RAJASTHAN,002999,2 Others,38,12,26,19,1,18,19,11,8
C0116,08,000,00000,RAJASTHAN,003000,3 BODO ,106,83,23,26,24,2,80,59,21
C0116,08,000,00000,RAJASTHAN,003001, Bodo/Boro,102,80,22,24,23,1,78,57,21
C0116,08,000,00000,RAJASTHAN,003003, Kachari,3,2,1,2,1,1,1,1,0
C0116,08,000,00000,RAJASTHAN,003004, Mech/Mechhia,1,1,0,0,0,0,1,1,0
C0116,08,000,00000,RAJASTHAN,004000,4 DOGRI ,5120,3773,1347,1583,1163,420,3537,2610,927
C0116,08,000,00000,RAJASTHAN,004001, Dogri,5120,3773,1347,1583,1163,420,3537,2610,927
C0116,08,000,00000,RAJASTHAN,005000,5 GUJARATI,67490,29501,37989,29036,10387,18649,38454,19114,19340
C0116,08,000,00000,RAJASTHAN,005018, Gujarati,66849,29179,37670,28534,10129,18405,38315,19050,19265
C0116,08,000,00000,RAJASTHAN,005019, Gujrao/Gujrau,13,6,7,0,0,0,13,6,7
C0116,08,000,00000,RAJASTHAN,005052, Pattani,8,5,3,8,5,3,0,0,0
C0116,08,000,00000,RAJASTHAN,005054, Ponchi,95,49,46,54,25,29,41,24,17
C0116,08,000,00000,RAJASTHAN,005057, Saurashtra/Saurashtri,7,4,3,1,1,0,6,3,3
C0116,08,000,00000,RAJASTHAN,005999,5 Others,518,258,260,439,227,212,79,31,48
C0116,08,000,00000,RAJASTHAN,006000,6 HINDI ,61274274,31821758,29452516,45740708,23703393,22037315,15533566,8118365,7415201
C0116,08,000,00000,RAJASTHAN,006030, Awadhi,7351,4004,3347,5630,3017,2613,1721,987,734
C0116,08,000,00000,RAJASTHAN,006040, Baghati/Baghati Pahari,150,80,70,117,63,54,33,17,16
C0116,08,000,00000,RAJASTHAN,006042, Bagheli/Baghel Khandi,178,95,83,137,73,64,41,22,19
C0116,08,000,00000,RAJASTHAN,006045, Bagri Rajasthani,668,338,330,551,276,275,117,62,55
C0116,08,000,00000,RAJASTHAN,006066, Banjari,8719,4362,4357,8504,4262,4242,215,100,115
C0116,08,000,00000,RAJASTHAN,006086, Bhadrawahi,66,48,18,8,6,2,58,42,16
C0116,08,000,00000,RAJASTHAN,006096, Bharmauri/Gaddi,138,67,71,120,56,64,18,11,7
C0116,08,000,00000,RAJASTHAN,006102, Bhojpuri,48483,29085,19398,9507,6119,3388,38976,22966,16010
C0116,08,000,00000,RAJASTHAN,006119, Bishnoi,305,159,146,305,159,146,0,0,0
C0116,08,000,00000,RAJASTHAN,006123, Brajbhasha,814162,435623,378539,637068,341393,295675,177094,94230,82864
C0116,08,000,00000,RAJASTHAN,006125, Bundeli/Bundel khandi,2227,1222,1005,1659,893,766,568,329,239
C0116,08,000,00000,RAJASTHAN,006133, Chambeali/Chamrali,99,2,97,99,2,97,0,0,0
