Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,11,000,00000,SIKKIM,001000,1 ASSAMESE,848,651,197,550,459,91,298,192,106
C0116,11,000,00000,SIKKIM,001002, Assamese,829,641,188,531,449,82,298,192,106
C0116,11,000,00000,SIKKIM,001999,1 Others,19,10,9,19,10,9,0,0,0
C0116,11,000,00000,SIKKIM,002000,2 BENGALI ,6986,4907,2079,2956,2255,701,4030,2652,1378
C0116,11,000,00000,SIKKIM,002007, Bengali,6870,4824,2046,2883,2203,680,3987,2621,1366
C0116,11,000,00000,SIKKIM,002011, Chakma,2,2,0,1,1,0,1,1,0
C0116,11,000,00000,SIKKIM,002015, Haijong/Hajong,51,30,21,26,16,10,25,14,11
C0116,11,000,00000,SIKKIM,002044, Rajbangsi,57,46,11,44,34,10,13,12,1
C0116,11,000,00000,SIKKIM,002999,2 Others,6,5,1,2,1,1,4,4,0
C0116,11,000,00000,SIKKIM,003000,3 BODO ,65,36,29,46,25,21,19,11,8
C0116,11,000,00000,SIKKIM,003001, Bodo/Boro,65,36,29,46,25,21,19,11,8
C0116,11,000,00000,SIKKIM,004000,4 DOGRI ,261,243,18,210,202,8,51,41,10
C0116,11,000,00000,SIKKIM,004001, Dogri,261,243,18,210,202,8,51,41,10
C0116,11,000,00000,SIKKIM,005000,5 GUJARATI,197,156,41,85,78,7,112,78,34
C0116,11,000,00000,SIKKIM,005018, Gujarati,195,154,41,83,76,7,112,78,34
C0116,11,000,00000,SIKKIM,005999,5 Others,2,2,0,2,2,0,0,0,0
C0116,11,000,00000,SIKKIM,006000,6 HINDI ,48586,31409,17177,17938,13382,4556,30648,18027,12621
C0116,11,000,00000,SIKKIM,006030, Awadhi,13,10,3,7,6,1,6,4,2
C0116,11,000,00000,SIKKIM,006096, Bharmauri/Gaddi,1,1,0,1,1,0,0,0,0
C0116,11,000,00000,SIKKIM,006102, Bhojpuri,9948,5864,4084,2967,1841,1126,6981,4023,2958
C0116,11,000,00000,SIKKIM,006123, Brajbhasha,9,5,4,0,0,0,9,5,4
C0116,11,000,00000,SIKKIM,006125, Bundeli/Bundel khandi,6,5,1,0,0,0,6,5,1
C0116,11,000,00000,SIKKIM,006142, Chhattisgarhi,3,3,0,3,3,0,0,0,0
C0116,11,000,00000,SIKKIM,006173, Dhundhari,6,3,3,6,3,3,0,0,0
C0116,11,000,00000,SIKKIM,006195, Garhwali,92,75,17,64,56,8,28,19,9
C0116,11,000,00000,SIKKIM,006235, Haryanvi,124,84,40,47,41,6,77,43,34
C0116,11,000,00000,SIKKIM,006240, Hindi,34052,22793,11259,13657,10603,3054,20395,12190,8205
C0116,11,000,00000,SIKKIM,006291, Kangri,2,1,1,0,0,0,2,1,1
C0116,11,000,00000,SIKKIM,006320, Khortha/Khotta,78,76,2,77,75,2,1,1,0
C0116,11,000,00000,SIKKIM,006340, Kumauni,90,75,15,53,52,1,37,23,14
C0116,11,000,00000,SIKKIM,006345, Kurmali Thar,1,1,0,1,1,0,0,0,0
C0116,11,000,00000,SIKKIM,006376, Magadhi/Magahi,43,24,19,14,7,7,29,17,12
C0116,11,000,00000,SIKKIM,006391, Malvi,5,5,0,5,5,0,0,0,0
C0116,11,000,00000,SIKKIM,006400, Marwari,1459,781,678,280,164,116,1179,617,562
C0116,11,000,00000,SIKKIM,006408, Mewari,24,14,10,23,14,9,1,0,1
C0116,11,000,00000,SIKKIM,006420, Nagpuria,2,2,0,2,2,0,0,0,0
C0116,11,000,00000,SIKKIM,006439, Pahari,42,41,1,34,34,0,8,7,1
C0116,11,000,00000,SIKKIM,006489, Rajasthani,125,82,43,49,38,11,76,44,32
