Subdivision,total,Sinhala,Tamil (Sri Lanka),Tamil (India),Tamil (Sri Lanka Moor),European languages (Burgher),Malay,Tamil (Chetty),Tamil (Bharatha),Other(s),Not Reported
Galewela,,59640,820,250,9289,28,13,0,0,2
Dambulla,,69339,756,85,2087,22,5,2,1,9
Naula,,29032,748,713,384,5,0,0,0,2
Pallepola,,27307,662,501,1086,7,1,0,0,1
Yatawatta,30242,25195,1045,2015,1959,17,4,1,0,6
Matale,74864,46639,12003,1827,13946,175,209,5,5,55
Ambanganga,15643,11766,1180,2618,75,2,1,0,0,1
Laggala,12110,11902,13,195,0,0,0,0,0,0
Wilgamuwa,29494,29471,14,2,5,2,0,0,0,0
Rattota,51354,36958,3562,8714,1994,49,61,2,5,9
Ukuwela,68027,44056,3476,6318,13961,79,98,12,0,27
Colombo,323257,80734,100570,6259,129492,1388,3687,363,155,609
Kolonnawa,191687,129263,16059,1508,40950,1166,2310,48,19,364
Kaduwela,252041,241070,4712,626,2180,1269,1206,46,50,882
Homagama,237905,233436,2032,410,596,521,769,18,29,94
Hanwella,113807,100328,4599,7733,852,138,76,2,1,78
Padukka,65267,62519,1220,354,1034,38,71,0,0,31
Maharagama,196423,188054,3348,538,1379,1525,1187,24,17,351
Sri Jayawardanapura Kotte,107925,91518,7436,807,5529,1039,792,69,52,683
Thimbirigasyaya,238057,125548,66693,3450,35965,1381,2042,192,290,2496
Dehiwala,88962,53822,12856,946,18538,1505,608,64,38,585
Ratmalana,95506,75387,7918,808,9295,1098,515,37,19,429
Moratuwa,168280,158738,4988,405,2698,792,419,26,10,204
Kesbewa,245232,238554,2659,445,1101,1446,762,26,10,229
Islands North (Kayts),9876,36,9797,42,1,0,0,0,0,0,0
Karainagar,9576,10,9517,47,0,0,0,0,0,2,0
Valikamam West (Chankanai),46438,106,46181,139,6,1,1,0,0,4,0
Valikamam South West (Sandilipay),52269,145,51889,212,21,1,0,0,0,1,0
Valikamam North (Thllippalai),29518,447,28983,62,19,4,2,0,1,0,0
Valikamam South (Uduvil),53016,263,52557,153,43,0,0,0,0,0,0
Valikamam East (Kopay),73225,178,72780,177,86,2,0,0,1,1,0
Vadamaradchchi South-West (Karaveddy),45730,68,45535,107,16,0,1,0,0,3,0
Vadamaradchchi East,12766,17,12698,49,2,0,0,0,0,0,0
Vadamaradchi North (Point Pedro),47565,261,47111,166,21,3,0,0,0,3,0
Thenmaradchi (Chavakachcheri),64704,156,64281,163,63,37,0,0,0,4,0
Nallur,68142,293,67620,176,45,4,2,2,0,0,0
Jaffna,50491,206,48280,228,1691,70,0,0,0,16,0
Islands South (Velanai),16742,59,16328,82,148,4,17,21,20,63,0
Delft,3824,39,3781,4,0,0,0,0,0,0,0
Pachchilaipalli,8530,235,8245,40,9,0,1,0,0,0
Kandavalai,23194,115,22920,140,18,1,0,0,0,0
Karachchi,61484,801,59907,611,141,0,1,0,0,23
Poonakary,20302,180,19422,239,461,0,0,0,0,0
Mahiyanganaya,75776,73672,172,15,1851,8,0,0,0,58
Rideemaliyadda,51618,51398,157,45,14,4
Meegahakiula,19719,17651,74,1924,20,1,4,0,0,45
Kandeketiya,23075,21654,220,626,572,0,1,1,0,1
Soranathota,22571,18094,481,3680,288,9,13,0,1,5
Passara,48807,27305,996,18113,2255,28,104,0,1,5
Lunugala,31381,12996,761,16345,1230,17,11,19,0,2
Badulla,75042,52546,3729,10980,7031,186,534,13,0,23
Hali-Ela,90571,58463,2739,25250,3409,126,383,2,1,198
Uvaparanagama,77998,65325,1646,8740,2230,48,8,0,0,1
Welimada,100808,71403,1996,10468,16732,166,19,5,1,18
Bandarawela,65502,48158,4143,9418,3418,155,144,12,1,53
Ella,45181,30125,1134,11985,1859,18,44,0,0,16
Haputale,49798,26807,1942,17357,3509,82,69,3,9,20
Haldummulla,37558,19775,1690,15538,298,144,17,11,2,83
Koralai Pattu North,21537,310,20483,39,700,4,1
Koralai Pattu Central,25687,72,586,21,24965,37,5,1
Koralai Pattu West,22182,18,72,18,22068,4,-,-,-,2
Koralai Pattu,23376,371,22747,93,77,85,-,1,-,2
Koralai Pattu South,26143,141,25781,201,20
Eravur Pattu,75478,2123,60349,166,12703,124,1,-,-,12
