Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,33,000,00000,TAMIL NADU,001000,1 ASSAMESE,2594,1877,717,674,533,141,1920,1344,576
C0116,33,000,00000,TAMIL NADU,001002, Assamese,2575,1863,712,671,530,141,1904,1333,571
C0116,33,000,00000,TAMIL NADU,001999,1 Others,19,14,5,3,3,0,16,11,5
C0116,33,000,00000,TAMIL NADU,002000,2 BENGALI ,22969,14490,8479,2515,1770,745,20454,12720,7734
C0116,33,000,00000,TAMIL NADU,002007, Bengali,22930,14458,8472,2496,1751,745,20434,12707,7727
C0116,33,000,00000,TAMIL NADU,002011, Chakma,38,31,7,19,19,0,19,12,7
C0116,33,000,00000,TAMIL NADU,002999,2 Others,1,1,0,0,0,0,1,1,0
C0116,33,000,00000,TAMIL NADU,003000,3 BODO ,67,41,26,13,9,4,54,32,22
C0116,33,000,00000,TAMIL NADU,003001, Bodo/Boro,53,34,19,13,9,4,40,25,15
C0116,33,000,00000,TAMIL NADU,003003, Kachari,14,7,7,0,0,0,14,7,7
C0116,33,000,00000,TAMIL NADU,004000,4 DOGRI ,934,717,217,49,45,4,885,672,213
C0116,33,000,00000,TAMIL NADU,004001, Dogri,934,717,217,49,45,4,885,672,213
C0116,33,000,00000,TAMIL NADU,005000,5 GUJARATI,275023,138490,136533,17862,9143,8719,257161,129347,127814
C0116,33,000,00000,TAMIL NADU,005018, Gujarati,34793,17586,17207,1727,891,836,33066,16695,16371
C0116,33,000,00000,TAMIL NADU,005052, Pattani,419,211,208,266,139,127,153,72,81
C0116,33,000,00000,TAMIL NADU,005057, Saurashtra/Saurashtri,238556,120084,118472,15721,8046,7675,222835,112038,110797
C0116,33,000,00000,TAMIL NADU,005999,5 Others,1255,609,646,148,67,81,1107,542,565
C0116,33,000,00000,TAMIL NADU,006000,6 HINDI ,393380,223915,169465,48662,30180,18482,344718,193735,150983
C0116,33,000,00000,TAMIL NADU,006030, Awadhi,11,9,2,3,2,1,8,7,1
C0116,33,000,00000,TAMIL NADU,006040, Baghati/Baghati Pahari,76,36,40,17,8,9,59,28,31
C0116,33,000,00000,TAMIL NADU,006066, Banjari,481,246,235,460,234,226,21,12,9
C0116,33,000,00000,TAMIL NADU,006086, Bhadrawahi,2,2,0,0,0,0,2,2,0
C0116,33,000,00000,TAMIL NADU,006096, Bharmauri/Gaddi,6,5,1,1,0,1,5,5,0
C0116,33,000,00000,TAMIL NADU,006102, Bhojpuri,944,689,255,309,237,72,635,452,183
C0116,33,000,00000,TAMIL NADU,006123, Brajbhasha,20,15,5,0,0,0,20,15,5
C0116,33,000,00000,TAMIL NADU,006125, Bundeli/Bundel khandi,35,20,15,1,1,0,34,19,15
C0116,33,000,00000,TAMIL NADU,006142, Chhattisgarhi,136,81,55,1,1,0,135,80,55
C0116,33,000,00000,TAMIL NADU,006173, Dhundhari,1,1,0,0,0,0,1,1,0
C0116,33,000,00000,TAMIL NADU,006195, Garhwali,93,74,19,31,30,1,62,44,18
C0116,33,000,00000,TAMIL NADU,006207, Gojri/Gujjari/Gujar,3,2,1,0,0,0,3,2,1
C0116,33,000,00000,TAMIL NADU,006235, Haryanvi,118,88,30,5,5,0,113,83,30
C0116,33,000,00000,TAMIL NADU,006240, Hindi,331057,190176,140881,36828,23567,13261,294229,166609,127620
C0116,33,000,00000,TAMIL NADU,006311, Khari Boli,2,2,0,0,0,0,2,2,0
C0116,33,000,00000,TAMIL NADU,006320, Khortha/Khotta,1292,648,644,271,139,132,1021,509,512
C0116,33,000,00000,TAMIL NADU,006340, Kumauni,90,69,21,38,38,0,52,31,21
