Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,16,000,00000,TRIPURA,001000,1 ASSAMESE,2129,1680,449,1041,853,188,1088,827,261
C0116,16,000,00000,TRIPURA,001002, Assamese,1888,1472,416,874,715,159,1014,757,257
C0116,16,000,00000,TRIPURA,001999,1 Others,241,208,33,167,138,29,74,70,4
C0116,16,000,00000,TRIPURA,002000,2 BENGALI ,2414774,1227492,1187282,1532133,783687,748446,882641,443805,438836
C0116,16,000,00000,TRIPURA,002007, Bengali,2330452,1184595,1145857,1453530,743659,709871,876922,440936,435986
C0116,16,000,00000,TRIPURA,002011, Chakma,84269,42864,41405,78551,39996,38555,5718,2868,2850
C0116,16,000,00000,TRIPURA,002015, Haijong/Hajong,8,5,3,8,5,3,0,0,0
C0116,16,000,00000,TRIPURA,002044, Rajbangsi,25,16,9,24,15,9,1,1,0
C0116,16,000,00000,TRIPURA,002999,2 Others,20,12,8,20,12,8,0,0,0
C0116,16,000,00000,TRIPURA,003000,3 BODO ,511,290,221,408,226,182,103,64,39
C0116,16,000,00000,TRIPURA,003001, Bodo/Boro,500,283,217,402,222,180,98,61,37
C0116,16,000,00000,TRIPURA,003003, Kachari,9,5,4,4,2,2,5,3,2
C0116,16,000,00000,TRIPURA,003004, Mech/Mechhia,2,2,0,2,2,0,0,0,0
C0116,16,000,00000,TRIPURA,004000,4 DOGRI ,534,488,46,315,297,18,219,191,28
C0116,16,000,00000,TRIPURA,004001, Dogri,533,487,46,314,296,18,219,191,28
C0116,16,000,00000,TRIPURA,004999,4 Others,1,1,0,1,1,0,0,0,0
C0116,16,000,00000,TRIPURA,005000,5 GUJARATI,1384,889,495,1201,741,460,183,148,35
C0116,16,000,00000,TRIPURA,005018, Gujarati,403,371,32,259,248,11,144,123,21
C0116,16,000,00000,TRIPURA,005999,5 Others,981,518,463,942,493,449,39,25,14
C0116,16,000,00000,TRIPURA,006000,6 HINDI ,77701,47597,30104,56503,34331,22172,21198,13266,7932
C0116,16,000,00000,TRIPURA,006030, Awadhi,1,1,0,0,0,0,1,1,0
C0116,16,000,00000,TRIPURA,006040, Baghati/Baghati Pahari,5,4,1,5,4,1,0,0,0
C0116,16,000,00000,TRIPURA,006066, Banjari,5,2,3,2,2,0,3,0,3
C0116,16,000,00000,TRIPURA,006086, Bhadrawahi,1,0,1,1,0,1,0,0,0
C0116,16,000,00000,TRIPURA,006096, Bharmauri/Gaddi,2,2,0,2,2,0,0,0,0
C0116,16,000,00000,TRIPURA,006102, Bhojpuri,13278,7185,6093,9171,4881,4290,4107,2304,1803
C0116,16,000,00000,TRIPURA,006123, Brajbhasha,11,11,0,3,3,0,8,8,0
C0116,16,000,00000,TRIPURA,006125, Bundeli/Bundel khandi,7,7,0,1,1,0,6,6,0
C0116,16,000,00000,TRIPURA,006142, Chhattisgarhi,164,101,63,143,85,58,21,16,5
C0116,16,000,00000,TRIPURA,006173, Dhundhari,2,1,1,1,1,0,1,0,1
C0116,16,000,00000,TRIPURA,006195, Garhwali,272,202,70,153,124,29,119,78,41
C0116,16,000,00000,TRIPURA,006207, Gojri/Gujjari/Gujar,7,5,2,7,5,2,0,0,0
C0116,16,000,00000,TRIPURA,006235, Haryanvi,632,398,234,465,274,191,167,124,43
C0116,16,000,00000,TRIPURA,006240, Hindi,56696,35864,20832,41075,25864,15211,15621,10000,5621
C0116,16,000,00000,TRIPURA,006265, Jaunpuri/Jaunsari,1,1,0,0,0,0,1,1,0
C0116,16,000,00000,TRIPURA,006320, Khortha/Khotta,30,16,14,29,15,14,1,1,0
C0116,16,000,00000,TRIPURA,006340, Kumauni,206,183,23,133,113,20,73,70,3
