Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,09,000,00000,UTTAR PRADESH,001000,1 ASSAMESE,10356,5910,4446,2489,1380,1109,7867,4530,3337
C0116,09,000,00000,UTTAR PRADESH,001002, Assamese,10288,5855,4433,2473,1364,1109,7815,4491,3324
C0116,09,000,00000,UTTAR PRADESH,001999,1 Others,68,55,13,16,16,0,52,39,13
C0116,09,000,00000,UTTAR PRADESH,002000,2 BENGALI ,241007,122645,118362,129389,64788,64601,111618,57857,53761
C0116,09,000,00000,UTTAR PRADESH,002007, Bengali,240966,122622,118344,129371,64779,64592,111595,57843,53752
C0116,09,000,00000,UTTAR PRADESH,002011, Chakma,18,11,7,1,1,0,17,10,7
C0116,09,000,00000,UTTAR PRADESH,002015, Haijong/Hajong,8,5,3,5,3,2,3,2,1
C0116,09,000,00000,UTTAR PRADESH,002044, Rajbangsi,7,3,4,7,3,4,0,0,0
C0116,09,000,00000,UTTAR PRADESH,002999,2 Others,8,4,4,5,2,3,3,2,1
C0116,09,000,00000,UTTAR PRADESH,003000,3 BODO ,226,155,71,48,39,9,178,116,62
C0116,09,000,00000,UTTAR PRADESH,003001, Bodo/Boro,222,153,69,44,37,7,178,116,62
C0116,09,000,00000,UTTAR PRADESH,003003, Kachari,2,1,1,2,1,1,0,0,0
C0116,09,000,00000,UTTAR PRADESH,003999,3 Others,2,1,1,2,1,1,0,0,0
C0116,09,000,00000,UTTAR PRADESH,004000,4 DOGRI ,2695,2008,687,269,230,39,2426,1778,648
C0116,09,000,00000,UTTAR PRADESH,004001, Dogri,2695,2008,687,269,230,39,2426,1778,648
C0116,09,000,00000,UTTAR PRADESH,005000,5 GUJARATI,15442,8160,7282,6708,3470,3238,8734,4690,4044
C0116,09,000,00000,UTTAR PRADESH,005018, Gujarati,11938,6314,5624,4201,2144,2057,7737,4170,3567
C0116,09,000,00000,UTTAR PRADESH,005019, Gujrao/Gujrau,1204,627,577,1200,625,575,4,2,2
C0116,09,000,00000,UTTAR PRADESH,005057, Saurashtra/Saurashtri,46,22,24,0,0,0,46,22,24
C0116,09,000,00000,UTTAR PRADESH,005999,5 Others,2254,1197,1057,1307,701,606,947,496,451
C0116,09,000,00000,UTTAR PRADESH,006000,6 HINDI ,187979055,98332835,89646220,149936334,78214653,71721681,38042721,20118182,17924539
C0116,09,000,00000,UTTAR PRADESH,006030, Awadhi,3801743,1928456,1873287,3715556,1883683,1831873,86187,44773,41414
C0116,09,000,00000,UTTAR PRADESH,006040, Baghati/Baghati Pahari,16,7,9,16,7,9,0,0,0
C0116,09,000,00000,UTTAR PRADESH,006042, Bagheli/Baghel Khandi,2612,1304,1308,2512,1249,1263,100,55,45
C0116,09,000,00000,UTTAR PRADESH,006066, Banjari,2548,1362,1186,2541,1359,1182,7,3,4
C0116,09,000,00000,UTTAR PRADESH,006086, Bhadrawahi,8,5,3,2,1,1,6,4,2
C0116,09,000,00000,UTTAR PRADESH,006096, Bharmauri/Gaddi,442,224,218,125,63,62,317,161,156
C0116,09,000,00000,UTTAR PRADESH,006102, Bhojpuri,21844783,11057299,10787484,20572313,10394616,10177697,1272470,662683,609787
C0116,09,000,00000,UTTAR PRADESH,006123, Brajbhasha,713572,389053,324519,598845,326908,271937,114727,62145,52582
C0116,09,000,00000,UTTAR PRADESH,006125, Bundeli/Bundel khandi,1303940,694992,608948,1089327,580801,508526,214613,114191,100422
C0116,09,000,00000,UTTAR PRADESH,006133, Chambeali/Chamrali,25,16,9,24,15,9,1,1,0
C0116,09,000,00000,UTTAR PRADESH,006142, Chhattisgarhi,12308,6424,5884,10787,5618,5169,1521,806,715
