Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,05,000,00000,UTTARAKHAND,001000,1 ASSAMESE,1656,1122,534,673,464,209,983,658,325
C0116,05,000,00000,UTTARAKHAND,001002, Assamese,1557,1052,505,649,447,202,908,605,303
C0116,05,000,00000,UTTARAKHAND,001999,1 Others,99,70,29,24,17,7,75,53,22
C0116,05,000,00000,UTTARAKHAND,002000,2 BENGALI ,150933,79044,71889,101879,53277,48602,49054,25767,23287
C0116,05,000,00000,UTTARAKHAND,002007, Bengali,150893,79022,71871,101849,53257,48592,49044,25765,23279
C0116,05,000,00000,UTTARAKHAND,002011, Chakma,9,6,3,7,6,1,2,0,2
C0116,05,000,00000,UTTARAKHAND,002999,2 Others,31,16,15,23,14,9,8,2,6
C0116,05,000,00000,UTTARAKHAND,003000,3 BODO ,51,43,8,21,19,2,30,24,6
C0116,05,000,00000,UTTARAKHAND,003001, Bodo/Boro,50,42,8,21,19,2,29,23,6
C0116,05,000,00000,UTTARAKHAND,003003, Kachari,1,1,0,0,0,0,1,1,0
C0116,05,000,00000,UTTARAKHAND,004000,4 DOGRI ,4925,3125,1800,3312,1923,1389,1613,1202,411
C0116,05,000,00000,UTTARAKHAND,004001, Dogri,4925,3125,1800,3312,1923,1389,1613,1202,411
C0116,05,000,00000,UTTARAKHAND,005000,5 GUJARATI,3921,2195,1726,1982,1052,930,1939,1143,796
C0116,05,000,00000,UTTARAKHAND,005018, Gujarati,3032,1736,1296,1144,624,520,1888,1112,776
C0116,05,000,00000,UTTARAKHAND,005019, Gujrao/Gujrau,826,422,404,826,422,404,0,0,0
C0116,05,000,00000,UTTARAKHAND,005057, Saurashtra/Saurashtri,8,5,3,3,2,1,5,3,2
C0116,05,000,00000,UTTARAKHAND,005999,5 Others,55,32,23,9,4,5,46,28,18
C0116,05,000,00000,UTTARAKHAND,006000,6 HINDI ,8992114,4555269,4436845,6386687,3175344,3211343,2605427,1379925,1225502
C0116,05,000,00000,UTTARAKHAND,006030, Awadhi,2754,1524,1230,1692,938,754,1062,586,476
C0116,05,000,00000,UTTARAKHAND,006040, Baghati/Baghati Pahari,6,4,2,4,3,1,2,1,1
C0116,05,000,00000,UTTARAKHAND,006042, Bagheli/Baghel Khandi,10,5,5,8,4,4,2,1,1
C0116,05,000,00000,UTTARAKHAND,006066, Banjari,7,4,3,5,2,3,2,2,0
C0116,05,000,00000,UTTARAKHAND,006086, Bhadrawahi,7,6,1,4,4,0,3,2,1
C0116,05,000,00000,UTTARAKHAND,006096, Bharmauri/Gaddi,2,2,0,2,2,0,0,0,0
C0116,05,000,00000,UTTARAKHAND,006102, Bhojpuri,95330,55057,40273,66815,37361,29454,28515,17696,10819
C0116,05,000,00000,UTTARAKHAND,006123, Brajbhasha,1407,806,601,835,477,358,572,329,243
C0116,05,000,00000,UTTARAKHAND,006125, Bundeli/Bundel khandi,341,209,132,193,126,67,148,83,65
C0116,05,000,00000,UTTARAKHAND,006133, Chambeali/Chamrali,4,4,0,1,1,0,3,3,0
C0116,05,000,00000,UTTARAKHAND,006142, Chhattisgarhi,971,502,469,701,361,340,270,141,129
C0116,05,000,00000,UTTARAKHAND,006173, Dhundhari,12,6,6,7,3,4,5,3,2
C0116,05,000,00000,UTTARAKHAND,006195, Garhwali,2322406,1109474,1212932,1983545,934728,1048817,338861,174746,164115
C0116,05,000,00000,UTTARAKHAND,006198, Gawari,1,0,1,0,0,0,1,0,1
C0116,05,000,00000,UTTARAKHAND,006207, Gojri/Gujjari/Gujar,3822,1957,1865,3794,1940,1854,28,17,11
C0116,05,000,00000,UTTARAKHAND,006231, Handuri,7,6,1,5,5,0,2,1,1
