Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,19,000,00000,WEST BENGAL,001000,1 ASSAMESE,7342,4595,2747,3706,2465,1241,3636,2130,1506
C0116,19,000,00000,WEST BENGAL,001002, Assamese,7147,4417,2730,3569,2334,1235,3578,2083,1495
C0116,19,000,00000,WEST BENGAL,001999,1 Others,195,178,17,137,131,6,58,47,11
C0116,19,000,00000,WEST BENGAL,002000,2 BENGALI ,78698852,40215336,38483516,56188667,28817906,27370761,22510185,11397430,11112755
C0116,19,000,00000,WEST BENGAL,002007, Bengali,78151766,39933409,38218357,55684784,28558056,27126728,22466982,11375353,11091629
C0116,19,000,00000,WEST BENGAL,002011, Chakma,175,101,74,90,51,39,85,50,35
C0116,19,000,00000,WEST BENGAL,002015, Haijong/Hajong,13,9,4,2,2,0,11,7,4
C0116,19,000,00000,WEST BENGAL,002044, Rajbangsi,283040,145572,137468,252857,130192,122665,30183,15380,14803
C0116,19,000,00000,WEST BENGAL,002999,2 Others,263858,136245,127613,250934,129605,121329,12924,6640,6284
C0116,19,000,00000,WEST BENGAL,003000,3 BODO ,42739,21667,21072,39539,20014,19525,3200,1653,1547
C0116,19,000,00000,WEST BENGAL,003001, Bodo/Boro,30389,15424,14965,28828,14619,14209,1561,805,756
C0116,19,000,00000,WEST BENGAL,003003, Kachari,46,28,18,19,8,11,27,20,7
C0116,19,000,00000,WEST BENGAL,003004, Mech/Mechhia,11476,5806,5670,10020,5049,4971,1456,757,699
C0116,19,000,00000,WEST BENGAL,003999,3 Others,828,409,419,672,338,334,156,71,85
C0116,19,000,00000,WEST BENGAL,004000,4 DOGRI ,1557,1286,271,692,592,100,865,694,171
C0116,19,000,00000,WEST BENGAL,004001, Dogri,1554,1284,270,692,592,100,862,692,170
C0116,19,000,00000,WEST BENGAL,004999,4 Others,3,2,1,0,0,0,3,2,1
C0116,19,000,00000,WEST BENGAL,005000,5 GUJARATI,41371,21240,20131,4141,2314,1827,37230,18926,18304
C0116,19,000,00000,WEST BENGAL,005018, Gujarati,38444,19770,18674,1684,1079,605,36760,18691,18069
C0116,19,000,00000,WEST BENGAL,005052, Pattani,2,1,1,0,0,0,2,1,1
C0116,19,000,00000,WEST BENGAL,005057, Saurashtra/Saurashtri,21,11,10,2,2,0,19,9,10
C0116,19,000,00000,WEST BENGAL,005999,5 Others,2904,1458,1446,2455,1233,1222,449,225,224
C0116,19,000,00000,WEST BENGAL,006000,6 HINDI ,6356059,3421912,2934147,2027869,1042099,985770,4328190,2379813,1948377
C0116,19,000,00000,WEST BENGAL,006030, Awadhi,121,64,57,11,5,6,110,59,51
C0116,19,000,00000,WEST BENGAL,006040, Baghati/Baghati Pahari,4,2,2,4,2,2,0,0,0
C0116,19,000,00000,WEST BENGAL,006042, Bagheli/Baghel Khandi,1,1,0,1,1,0,0,0,0
C0116,19,000,00000,WEST BENGAL,006086, Bhadrawahi,5,5,0,5,5,0,0,0,0
C0116,19,000,00000,WEST BENGAL,006096, Bharmauri/Gaddi,85,49,36,62,36,26,23,13,10
C0116,19,000,00000,WEST BENGAL,006102, Bhojpuri,177883,96408,81475,81056,42859,38197,96827,53549,43278
C0116,19,000,00000,WEST BENGAL,006123, Brajbhasha,53,31,22,5,4,1,48,27,21
C0116,19,000,00000,WEST BENGAL,006125, Bundeli/Bundel khandi,74,45,29,15,12,3,59,33,26
C0116,19,000,00000,WEST BENGAL,006142, Chhattisgarhi,1558,780,778,752,384,368,806,396,410
C0116,19,000,00000,WEST BENGAL,006173, Dhundhari,48,33,15,27,16,11,21,17,4
C0116,19,000,00000,WEST BENGAL,006195, Garhwali,363,226,137,164,113,51,199,113,86
